data_set,optimizer,seed_42_acc,seed_43_acc,seed_44_acc,seed_45_acc,seed_46_acc
biodeg_data,adam,0.8531372549019608,0.8460352891156462,0.8553488372093023,0.8735358348223149,0.8604901960784315
biodeg_data,sgd,0.8641666666666667,0.8606505102040816,0.8629767441860465,0.8602342664284296,0.8494607843137255
biodeg_data,irls,0.8538235294117646,0.8314200680272108,0.8088372093023256,0.8811792733770101,0.8501470588235294
parkinson_data,adam,0.6674107142857143,0.8125,0.7571428571428571,0.8242857142857143,0.7482758620689656
parkinson_data,sgd,0.6830357142857143,0.875,0.7971428571428572,0.8528571428571429,0.6810344827586207
parkinson_data,irls,0.7388392857142857,0.96875,0.8528571428571429,0.8728571428571428,0.7637931034482759
diabetes_data,adam,0.7640692640692641,0.746,0.7289173789173788,0.7192457220692983,0.7375621890547264
diabetes_data,sgd,0.7476136699739184,0.7426666666666667,0.7195156695156695,0.7192457220692983,0.7356399819086387
diabetes_data,irls,0.7374095883412654,0.746,0.7289173789173788,0.7192457220692983,0.7337743102668476
biodeg_data,lda,0.8376452943382078,0.8746081504702194,0.8437197131226981,0.8548792756539236,0.8448529411764706
biodeg_data,qda,0.7385468490878939,0.6876175548589342,0.7311460469355207,0.7206674958540631,0.691609977324263
biodeg_data,dt,0.8126780626780626,0.7882205513784462,0.8149949341438704,0.8336519114688128,0.7826210826210827
biodeg_data,rf,0.8860688956433638,0.8345580730761379,0.8324658093488467,0.887669801462905,0.8837929656274981
parkinson_data,lda,0.7878787878787878,0.9375,0.8653846153846154,0.9310344827586208,0.8104838709677421
parkinson_data,qda,0.9444444444444444,0.8588709677419355,0.8831168831168831,0.8831168831168831,0.9142857142857144
parkinson_data,dt,0.8863636363636365,0.7827586206896552,0.8041666666666667,0.9442857142857144,0.7666666666666666
parkinson_data,rf,0.9705882352941176,0.9375,0.9230769230769232,0.9807692307692308,0.9111111111111112
diabetes_data,lda,0.7873541349568747,0.7931034482758621,0.7594456770091724,0.7485247679499856,0.7669895076674738
diabetes_data,qda,0.7880856635181894,0.7534468775344687,0.7183343434021243,0.7132800608828006,0.7464285714285714
diabetes_data,dt,0.9741935483870968,0.9807692307692308,0.9676011029411764,0.9740041928721176,0.9640880842248644
diabetes_data,rf,0.9784894194832084,0.97994422994423,0.9752710317800852,0.9719728425541464,0.9886928991406604
diabetes_data,adam+int,0.7578177516065715,0.7806666666666666,0.7615384615384615,0.7383296915349471,0.7622682044323835
diabetes_data,sgd+int,0.7544163910623538,0.7586666666666667,0.7441595441595441,0.7344135758676467,0.7527137042062415
diabetes_data,irls+int,0.7694469091984619,0.7686666666666666,0.7539886039886039,0.7253185391185901,0.7528833107191316
diabetes_data,lda+int,0.7974065598779558,0.8021101705312231,0.7983511285308825,0.7596558496212475,0.7927899686520377
diabetes_data,qda+int,0.823069403714565,0.817120236102046,0.7819449927622055,0.7658904579319804,0.7953333956794164
diabetes_data,dt+int,0.9784894194832083,0.9796115477230029,0.9605615161499254,0.9622908186341023,0.9582816505416356
diabetes_data,rf+int,0.9892447097416042,0.9893333333333334,0.9752710317800852,0.9719728425541465,0.9757041858377287
