Iteration,IWLS,SGD,Adam
0,-315.3819671547758,-151.25908672860857,-315.3819671547758
1,-107.49577172193462,-148.21520359826974,-376.19339563077955
2,-61.7033002011179,-201.63035306059203,-288.7911177535666
3,-40.95445286151922,-192.64315913863916,-333.4814601381339
4,-30.26782649504388,-162.68587275867327,-313.21343037573735
5,-22.21099926797386,-162.68583350381024,-270.70561471882326
6,-16.33403812985947,-183.65595973569717,-272.6609600065094
7,-12.521832569218157,-168.68101597439528,-283.63364241069866
8,-9.725388503064234,-168.6772991026024,-273.3244776184354
9,-6.536237286226609,-449.3263023641526,-251.3612079842925
10,-3.067138137962548,-179.42639551565904,-239.150104655894
11,-1.084968183271349,-168.6772980508977,-243.0764681092768
12,-0.3861479178125335,-168.63390647623913,-245.03188821725956
13,-0.14025331574997196,-372.63329580762615,-234.23440503752687
14,-0.0513809512124877,-379.2226870131102,-221.13733718517184
15,-0.018881932149629736,-175.18762819658212,-216.17647985072594
16,-0.006945146222830222,-168.67742766570137,-216.93724469891959
17,-0.002554874493370065,-150.70290452323684,-215.79397631631926
18,-0.0009398272601615305,-174.6687626006385,-209.7523725245275
19,-0.0003457309180900158,-180.66022724519013,-201.7943526515776
20,-0.0001271855546130332,-160.79491300671762,-196.5743848526385
21,-4.6788723694060665e-05,-177.664506729353,-195.33758108483894
22,-1.7212582838894376e-05,-174.66876259800569,-194.7959387854974
23,-6.332153237322102e-06,-174.66876259800566,-191.61254576969887
24,-2.3294692537620023e-06,-174.668762635246,-186.4057631434674
25,-8.569640811871818e-07,-182.75130317315094,-182.08236181705226
26,-3.15259571447e-07,-156.01639823564872,-180.00785164178788
27,-1.1597755529861723e-07,-260.62870779919706,-179.02373873799178
28,-4.2665773635686425e-08,-174.66876275616536,-177.32729500423895
29,-1.569586661386261e-08,-134.5610922320151,-174.3696295672948
30,,-174.66876259800566,-171.06499612447712
31,,-171.67303032445233,-168.61547794407772
32,,-134.56109223199817,-167.27066482823878
33,,-171.67303032445167,-166.20850729579388
34,,-134.56109223199817,-164.55703826909345
35,,-174.66876259800566,-162.31320065898268
36,,-134.56109223199817,-160.16027907696207
37,,-141.71907269783227,-158.6151991931136
38,,-171.93482997186874,-157.5548232009386
39,,-134.56109223199817,-156.4835889419895
40,,-171.67303032445167,-155.08546967303778
41,,-171.67303032445167,-153.47911921074578
42,,-131.67457467702332,-152.01513985422986
43,,-148.62346286789395,-150.89510304629763
44,,-156.69436895668176,-149.99968722369474
45,,-141.76405437341467,-149.05835619771432
46,,-131.56540180199286,-147.93962366955515
47,,-131.56535995844465,-146.7506816989595
48,,-134.56157640882495,-145.68274869299515
49,,-134.56109223199817,-144.80751660514906
50,,-131.5653611200826,-144.03209914049924
51,,-134.56110172792367,-143.21942611499605
52,,-134.5610922722438,-142.32476602036337
53,,-122.77081332893175,-141.41805907347253
54,,-134.56109223199817,-140.5943246517992
55,,-251.64151097853505,-139.87722315142904
56,,-123.77797848729132,-139.20811916638266
57,,-128.57168454262273,-138.51599786280119
58,,-122.58087583784479,-137.78656949332526
59,,-134.56109223199817,-137.06399480677473
60,,-131.32096578671312,-136.39641337510952
61,,-131.5653599584442,-135.7884874419221
62,,-131.5653599584442,-135.20466001279436
63,,-131.5653599584442,-134.6098536437344
64,,-131.5653599584442,-134.0018119976284
65,,-134.56109223199817,-133.40623866435553
66,,-206.7055268752253,-132.8464042789364
67,,-134.56109223199817,-132.3207623408905
