@relation elevators

@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SaTime1 numeric
@attribute SaTime2 numeric
@attribute SaTime3 numeric
@attribute SaTime4 numeric
@attribute diffSaTime1 numeric
@attribute diffSaTime2 numeric
@attribute diffSaTime3 numeric
@attribute diffSaTime4 numeric
@attribute Sa numeric
@attribute binaryClass {P,N}

@data
118,-55,-0.28,-0.08,-0.2,-11,11,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,N
390,-45,-0.06,-0.07,-0.6,-12,11,0.01,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,N
68,6,0.11,0.15,0.6,-10,-9,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0,0,0,-0.001,N
-358,-12,-0.2,0.13,-0.3,-11,-7,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,N
-411,-19,-0.18,0.02,-0.5,-11,-3,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,N
-374,-29,-0.14,0.03,-0.8,-12,5,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,N
-11,-43,0.34,-0.05,-0.4,-11,9,0.01,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,N
224,5,-0.35,0.06,-1.2,-12,1,0.01,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,N
-120,13,0.29,0.15,-1.4,-12,-9,0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,N
-335,-3,0.27,0.13,-0.1,-11,-8,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,N
-237,-32,-0.15,0.03,0.3,-11,2,-0.007,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,N
-104,-60,0.3,0.09,0.8,-10,-4,-0.007,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,-0.0002,0,-0.0009,N
-165,-63,0.16,0.1,1,-10,-7,-0.014,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,N
108,-70,-0.4,0.01,-0.6,-11,6,0.003,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0.0001,0,-0.0008,N
51,-52,0.18,0.1,-1.5,-12,-4,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,N
-43,-52,0.19,0.18,-1.2,-12,-13,-0.005,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,N
-368,-71,0.03,0.12,-0.8,-12,-7,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
58,-85,0.13,-0.11,-0.5,-11,17,0.003,-0.3,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,N
376,-73,0.01,-0.04,-0.3,-11,8,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,N
501,-41,-0.19,0.04,-0.7,-12,1,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0009,0,0,0.0001,0,-0.0009,N
556,-25,-0.08,0.03,-0.9,-12,4,0.009,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,N
-131,12,0.06,0.19,0.1,-11,-15,-0.01,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,N
-275,2,-0.13,0.07,0,-11,-4,-0.008,0.2,-0.0008,-0.0008,-0.0008,-0.0009,0,0,0.0001,0,-0.0009,N
-130,-15,-0.2,0.02,-0.9,-12,4,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
199,-14,0.04,-0.04,-1.2,-12,10,0.007,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,N
93,7,0.25,0.09,0,-11,-5,0.001,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,N
-31,9,0.13,0.11,0.4,-11,-7,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
-26,7,0.03,0.02,0.6,-10,8,-0.007,-0.9,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,N
-128,5,-0.17,0.13,0.4,-11,-9,-0.01,-0.4,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,P
-194,3,-0.17,-0.04,0.2,-11,-2,0.005,2.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
102,-3,0.16,-0.03,0.2,-11,7,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
146,2,0.25,0.03,0.5,-10,-1,0.005,0.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,N
-234,1,-0.12,0.13,1,-10,-11,-0.009,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,N
-323,-7,-0.22,0.09,0.7,-10,-3,-0.007,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
-328,-15,-0.3,0.03,0.4,-11,4,-0.005,-0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,P
200,-21,0.08,-0.12,-0.2,-11,17,0.011,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,P
384,-10,0.27,-0.02,0.3,-11,6,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,N
318,3,0.34,0.1,0.8,-10,-10,0.002,1,-0.0008,-0.0006,-0.0006,-0.0006,-0.0002,0,-0.0002,0,-0.0006,N
-332,3,-0.21,0.16,1.2,-10,-14,-0.01,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
-427,-19,-0.36,0.05,0.3,-11,1,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,P
139,-39,0.23,-0.03,-0.5,-11,8,0.008,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
-113,-34,0.32,0.07,-0.8,-12,-2,0.005,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
-54,-38,0.39,0.01,0.1,-11,4,0.002,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,P
-72,-39,0.29,0.07,0.6,-10,-8,-0.011,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
-81,-42,0.16,0.04,0.9,-10,1,-0.007,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,P
-83,-46,-0.23,0.04,0.9,-10,-1,-0.012,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,P
-27,-48,-0.38,0.01,0.4,-11,6,-0.009,-0.7,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
294,-17,0.3,0.04,-0.2,-11,1,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
146,-6,0.18,0.11,0.6,-10,-9,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,P
-182,-6,-0.33,0.14,0.4,-11,-11,-0.016,0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,P
-259,-10,-0.43,-0.05,0,-11,-2,-0.008,2,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,P
-88,-16,-0.38,-0.05,-0.8,-12,11,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0007,0,0,0.0001,0,-0.0007,P
330,-11,-0.09,-0.13,-1.4,-12,19,0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,P
509,-3,0.06,0.04,-1.4,-12,5,0.011,-1.9,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
550,13,0.22,0.04,-1.2,-12,-1,0.009,0.5,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
188,50,0.24,0.13,0.7,-10,-11,-0.008,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,P
14,52,0.03,0.14,0.9,-10,-12,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,P
-263,40,-0.51,0.09,-0.6,-11,-5,-0.007,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,P
275,36,0.49,0.01,-0.6,-11,5,0.002,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,P
-275,14,0.21,0.09,-0.3,-11,-4,-0.008,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,P
