@relation JapaneseVowels-weka.filters.unsupervised.attribute.Copy-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute utterance numeric
@attribute frame numeric
@attribute coefficient1 numeric
@attribute coefficient2 numeric
@attribute coefficient3 numeric
@attribute coefficient4 numeric
@attribute coefficient5 numeric
@attribute coefficient6 numeric
@attribute coefficient7 numeric
@attribute coefficient8 numeric
@attribute coefficient9 numeric
@attribute coefficient10 numeric
@attribute coefficient11 numeric
@attribute coefficient12 numeric
@attribute binaryClass {P,N}

@data
1,1,1.860936,-0.207383,0.261557,-0.214562,-0.171253,-0.118167,-0.277557,0.025668,0.126701,-0.306756,-0.213076,0.088728,N
1,2,1.891651,-0.193249,0.235363,-0.249118,-0.11289,-0.112238,-0.311997,-0.027122,0.171457,-0.289431,-0.247722,0.093011,N
1,3,1.939205,-0.239664,0.258561,-0.291458,-0.041053,-0.102034,-0.3833,0.019013,0.16951,-0.314894,-0.227908,0.074638,N
1,4,1.717517,-0.218572,0.217119,-0.228186,-0.018608,-0.137624,-0.403318,-0.009643,0.164607,-0.323267,-0.210105,0.098098,N
1,5,1.741191,-0.279891,0.196583,-0.236377,-0.032012,-0.090612,-0.363134,-0.012571,0.124298,-0.351171,-0.216545,0.113899,N
1,6,1.684695,-0.311977,0.195453,-0.23197,-0.06867,-0.003822,-0.34194,-0.008826,0.085097,-0.364329,-0.204794,0.101838,N
1,7,1.637373,-0.336227,0.152766,-0.223842,-0.026278,-0.009157,-0.363866,-0.003117,0.055479,-0.358107,-0.181643,0.082056,N
1,8,1.643283,-0.349773,0.131553,-0.154519,-0.035292,0.023719,-0.381399,-0.021189,0.020397,-0.340491,-0.156417,0.080884,N
1,9,1.60703,-0.382745,0.179038,-0.115949,-0.060406,0.0578,-0.364642,-0.06923,-0.019788,-0.355996,-0.115129,0.131928,N
1,10,1.617907,-0.527367,0.179878,-0.083292,0.031747,0.081424,-0.418227,-0.081175,-0.022385,-0.33766,-0.103184,0.102266,N
1,11,1.51035,-0.548025,0.13193,-0.028036,0.104782,0.092027,-0.416792,-0.120635,-0.056442,-0.30885,-0.099587,0.103529,N
1,12,1.371225,-0.470988,0.043163,0.019166,0.165104,0.09589,-0.416692,-0.159574,-0.078847,-0.326813,-0.073882,0.141055,N
1,13,1.299045,-0.495095,0.029375,0.026418,0.218288,0.07575,-0.374873,-0.191542,-0.103774,-0.322266,-0.066122,0.130722,N
1,14,1.221498,-0.50008,-0.002802,0.095565,0.226836,0.055463,-0.374477,-0.233165,-0.064838,-0.296219,-0.075885,0.091973,N
1,15,1.181849,-0.496439,-0.075193,0.167288,0.294219,0.009977,-0.4003,-0.233576,-0.067197,-0.236504,-0.096844,0.010373,N
1,16,1.16163,-0.481933,-0.052291,0.156674,0.361226,-0.029372,-0.439398,-0.153779,-0.144769,-0.214368,-0.068804,-0.041047,N
1,17,1.19499,-0.510964,0.065827,0.175791,0.353618,-0.066702,-0.483034,-0.06115,-0.196565,-0.220477,-0.02792,-0.085436,N
1,18,1.264847,-0.564878,0.162907,0.186745,0.35686,-0.103597,-0.477584,-0.036123,-0.218547,-0.204974,-0.019119,-0.136857,N
1,19,1.250698,-0.612291,0.205701,0.211003,0.369712,-0.135327,-0.511918,-0.008747,-0.203637,-0.212982,-0.02357,-0.170498,N
1,20,1.261441,-0.63835,0.217443,0.263384,0.391115,-0.176897,-0.510697,0.020526,-0.217709,-0.219071,-0.033314,-0.175986,N
2,1,1.303905,0.067256,0.59772,-0.271474,-0.236808,-0.411125,-0.014826,0.113175,-0.05823,-0.173138,0.093058,0.099247,N
2,2,1.28828,0.018672,0.631579,-0.355112,-0.119216,-0.434425,-0.078036,0.178121,-0.10643,-0.18191,0.093031,0.099183,N
2,3,1.332021,-0.058744,0.601928,-0.347913,-0.053463,-0.421753,-0.028479,0.145073,-0.159488,-0.127751,0.019092,0.113546,N
2,4,1.43655,-0.206565,0.641775,-0.391073,-0.103646,-0.227374,-0.070016,0.138611,-0.125229,-0.182744,-0.021516,0.065927,N
2,5,1.510069,-0.30888,0.614297,-0.283639,-0.178763,-0.267168,-0.03463,0.160095,-0.098749,-0.220531,-0.061329,0.09364,N
2,6,1.492324,-0.413803,0.583179,-0.197519,-0.242376,-0.23451,-0.026315,0.178486,-0.12212,-0.256385,-0.038403,0.06447,N
2,7,1.731416,-0.615714,0.624905,-0.241347,-0.158116,-0.18676,-0.01546,0.09242,-0.203755,-0.1862,-0.100484,0.045003,N
2,8,1.655716,-0.489726,0.366389,-0.183851,-0.018003,-0.252819,0.069039,0.01874,-0.180031,-0.13658,-0.24575,0.052947,N
2,9,1.560145,-0.309991,0.107469,0.015034,-0.04191,-0.217401,0.067056,0.00926,-0.163025,-0.229586,-0.177976,0.038727,N
2,10,1.981364,-0.630689,0.261975,-0.046982,0.076403,-0.257617,-0.015961,0.017001,-0.232117,-0.217084,-0.192819,0.089435,N
