feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.4591035842895508
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.2832772731781006
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.5136013031005859
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.44520775477091473
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.44382230440775555
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.7415339152018229
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'auto'}",1,0.539,0.008485281374238578,0.61,1.0215672651926677
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'hist'}",1,0.539,0.008485281374238578,0.61,0.9937561353047689
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'approx'}",1,0.5396666666666667,0.007542472332656513,0.6066666666666666,1.9010862509409587
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.2519637743631999
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.2546677589416504
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.5239437421162924
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.41466673215230304
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.40485596656799316
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.719413677851359
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'auto'}",1,0.539,0.008485281374238578,0.61,0.8268417517344157
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'hist'}",1,0.539,0.008485281374238578,0.61,0.8334807554880778
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'approx'}",1,0.5396666666666667,0.007542472332656513,0.6066666666666666,1.4140056769053142
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.2551095485687256
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.2590916156768799
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.5372742017110189
