feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",1,0.5122,0.018893385085791286,0.5469999999999999,2.910628652572632
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",1,0.5136000000000001,0.018958902921846526,0.54,5.360587739944458
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",2,0.5551999999999999,0.008657944328765352,0.636,2.9102900505065916
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",2,0.5502,0.011443775600735956,0.643,5.941307020187378
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",3,0.6052,0.0064000000000000055,0.698,3.2107288360595705
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",3,0.6127999999999999,0.007359347797189646,0.703,5.5121218204498295
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",4,0.64,0.008786353054595528,0.712,2.9452046394348144
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",4,0.647,0.009077444574328181,0.7060000000000001,5.5148344993591305
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",5,0.6734,0.01313925416452545,0.7299999999999999,2.8628771781921385
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",5,0.6814,0.012338557452149712,0.7369999999999999,6.142177152633667
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",6,0.6890000000000001,0.005692099788303049,0.756,3.0508501052856447
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",6,0.689,0.011679041056525105,0.748,6.090618371963501
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",7,0.6946,0.007310266752998797,0.75,2.7911080837249758
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",7,0.6936,0.006406246951218759,0.756,5.364902544021606
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",8,0.6914,0.005161395160225548,0.745,2.7311375617980955
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",8,0.6980000000000001,0.008124038404635967,0.749,5.396872091293335
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",9,0.6934,0.00652993108692578,0.748,3.2908626556396485
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",9,0.6946,0.003929376540877704,0.743,7.719020938873291
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",10,0.6984,0.005314132102234573,0.75,4.027953433990478
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",10,0.6941999999999998,0.009152048950918031,0.752,5.446319103240967
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",11,0.693,0.0038470768123342377,0.757,2.7008450031280518
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",11,0.6968,0.008376156636548742,0.7429999999999999,5.31074595451355
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",12,0.6923999999999999,0.006829348431585511,0.7470000000000001,2.788011932373047
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",12,0.6987999999999999,0.004166533331199936,0.765,5.457497549057007
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",13,0.6906,0.005748043145279927,0.7449999999999999,2.821915626525879
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",13,0.6984,0.008014985963805527,0.767,5.494840097427368
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",14,0.6944,0.013093509842666285,0.753,2.9221341133117678
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",14,0.6964,0.011199999999999957,0.7630000000000001,5.655576705932617
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",15,0.6962,0.007984985911070833,0.7470000000000001,3.385568857192993
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",15,0.6978,0.011088733020503273,0.7569999999999999,6.120494270324707
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 100}",16,0.6976,0.005083306010855538,0.735,3.4177629947662354
SelectFromModel,{'threshold': -Infinity},RandomForestClassifier,"{'random_state': 42, 'n_jobs': -2, 'n_estimators': 200}",16,0.6938,0.010476640682967005,0.755,6.0477574348449705
