n_features,Combination,score,accuracy,accuracy_top_20pc,XGB_params,SVM_params,split_size
4,"('XGBClassifier',)",7100.0,0.65,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7100.0,0.669,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7100.0,0.673,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6450.0,0.636,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.674,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7000.0,0.675,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6050.0,0.604,0.685,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6750.0,0.664,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6750.0,0.661,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6400.0,0.612,0.72,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.654,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7000.0,0.659,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
