num_features,model,accuracy,metric,method
2,SVM,0.598,6950,seq
3,NN,0.599,6800,seq
3,SVM,0.596,6700,seq
1,SVM,0.569,6350,seq
5,SVM,0.586,6200,seq
4,SVM,0.587,6200,seq
2,RF,0.556,6100,seq
6,NN,0.581,6100,seq
2,XGB,0.566,6100,seq
5,NN,0.583,6050,seq
1,LDA,0.537,6000,seq
1,LR,0.537,6000,seq
1,NN,0.539,6000,seq
3,RF,0.577,5950,seq
4,NN,0.584,5950,seq
2,LR,0.524,5900,seq
2,LDA,0.524,5900,seq
1,XGB,0.553,5900,seq
3,XGB,0.551,5800,seq
5,RF,0.578,5800,seq
4,XGB,0.554,5750,seq
4,RF,0.56,5700,seq
3,LDA,0.532,5650,seq
3,LR,0.532,5650,seq
6,RF,0.559,5600,seq
6,SVM,0.568,5500,seq
2,NN,0.526,5500,seq
5,XGB,0.565,5500,seq
4,LR,0.531,5450,seq
4,LDA,0.531,5450,seq
8,SVM,0.566,5450,seq
7,SVM,0.576,5250,seq
7,RF,0.572,5250,seq
7,NN,0.573,5200,seq
5,LR,0.541,5150,seq
5,LDA,0.541,5150,seq
8,RF,0.57,5150,seq
1,RF,0.516,5100,seq
9,SVM,0.575,5050,seq
9,RF,0.574,5050,seq
6,LR,0.535,5050,seq
6,XGB,0.551,5050,seq
6,LDA,0.536,5000,seq
7,XGB,0.56,5000,seq
8,XGB,0.579,4850,seq
8,NN,0.584,4800,seq
7,LDA,0.531,4750,seq
7,LR,0.531,4750,seq
11,RF,0.577,4650,seq
10,SVM,0.567,4650,seq
11,SVM,0.566,4650,seq
8,LDA,0.533,4600,seq
8,LR,0.534,4600,seq
9,XGB,0.559,4550,seq
10,RF,0.578,4550,seq
9,LR,0.525,4500,seq
9,LDA,0.525,4500,seq
11,XGB,0.521,4350,seq
12,RF,0.586,4250,seq
9,NN,0.535,4200,seq
10,XGB,0.575,4200,seq
11,NN,0.555,4200,seq
10,NN,0.553,4150,seq
13,RF,0.55,4050,seq
12,SVM,0.574,4000,seq
13,SVM,0.56,3800,seq
12,XGB,0.555,3800,seq
15,RF,0.579,3700,seq
14,SVM,0.569,3650,seq
14,RF,0.585,3650,seq
14,XGB,0.566,3650,seq
13,XGB,0.543,3450,seq
10,LR,0.504,3400,seq
14,NN,0.544,3400,seq
10,LDA,0.504,3400,seq
13,NN,0.547,3350,seq
15,XGB,0.563,3350,seq
12,NN,0.567,3350,seq
15,SVM,0.567,3200,seq
16,RF,0.56,3200,seq
12,LDA,0.496,3150,seq
17,RF,0.571,3150,seq
12,LR,0.495,3150,seq
11,LDA,0.517,3050,seq
16,XGB,0.564,3050,seq
11,LR,0.517,3050,seq
15,NN,0.553,3000,seq
13,LR,0.498,2800,seq
13,LDA,0.496,2800,seq
18,XGB,0.571,2700,seq
16,SVM,0.568,2700,seq
17,XGB,0.575,2700,seq
16,NN,0.536,2650,seq
19,XGB,0.553,2650,seq
17,SVM,0.572,2650,seq
20,RF,0.56,2600,seq
18,RF,0.556,2600,seq
18,NN,0.551,2500,seq
14,LDA,0.496,2500,seq
19,RF,0.57,2500,seq
14,LR,0.495,2500,seq
18,SVM,0.557,2450,seq
15,LR,0.502,2400,seq
15,LDA,0.502,2400,seq
20,NN,0.551,2350,seq
19,SVM,0.55,2300,seq
21,RF,0.558,2300,seq
17,NN,0.535,2250,seq
20,XGB,0.556,2250,seq
16,LDA,0.5,2200,seq
16,LR,0.5,2200,seq
21,XGB,0.528,2150,seq
22,RF,0.582,2100,seq
20,SVM,0.554,2100,seq
22,NN,0.543,2050,seq
21,NN,0.548,2050,seq
21,SVM,0.548,1950,seq
19,NN,0.542,1850,seq
17,LDA,0.498,1850,seq
22,XGB,0.556,1800,seq
17,LR,0.495,1800,seq
22,SVM,0.544,1800,seq
18,LDA,0.496,1750,seq
18,LR,0.496,1750,seq
23,SVM,0.542,1650,seq
24,XGB,0.571,1650,seq
23,XGB,0.547,1650,seq
23,RF,0.552,1650,seq
20,LDA,0.503,1550,seq
20,LR,0.502,1550,seq
19,LDA,0.497,1550,seq
19,LR,0.497,1550,seq
24,RF,0.579,1450,seq
21,LDA,0.501,1350,seq
25,RF,0.556,1350,seq
23,NN,0.55,1350,seq
21,LR,0.502,1300,seq
25,SVM,0.557,1250,seq
24,SVM,0.535,1200,seq
24,NN,0.548,1050,seq
22,LDA,0.5,1050,seq
25,XGB,0.555,1050,seq
22,LR,0.502,1000,seq
23,LDA,0.509,800,seq
23,LR,0.51,750,seq
24,LR,0.512,650,seq
24,LDA,0.512,600,seq
25,NN,0.531,600,seq
25,LR,0.506,400,seq
25,LDA,0.504,350,seq
