num_features,model,accuracy,metric,method
4,SVM,0.66,7250,sfm
3,SVM,0.627,7000,sfm
5,SVM,0.659,6850,sfm
6,RF,0.68,6800,sfm
6,SVM,0.708,6800,sfm
7,SVM,0.707,6750,sfm
7,RF,0.678,6700,sfm
4,XGB,0.632,6700,sfm
3,XGB,0.583,6650,sfm
6,XGB,0.65,6550,sfm
4,RF,0.625,6550,sfm
5,RF,0.66,6550,sfm
2,SVM,0.577,6550,sfm
8,SVM,0.711,6400,sfm
5,NN,0.62,6350,sfm
9,RF,0.674,6250,sfm
3,RF,0.583,6250,sfm
5,XGB,0.638,6200,sfm
9,SVM,0.71,6200,sfm
8,RF,0.667,6150,sfm
7,XGB,0.657,6100,sfm
7,NN,0.668,6050,sfm
8,XGB,0.657,6050,sfm
1,SVM,0.54,6000,sfm
2,XGB,0.554,6000,sfm
10,SVM,0.713,5950,sfm
2,NN,0.533,5950,sfm
2,RF,0.547,5950,sfm
6,NN,0.635,5900,sfm
10,RF,0.681,5900,sfm
4,NN,0.574,5900,sfm
11,XGB,0.648,5850,sfm
11,SVM,0.719,5850,sfm
8,NN,0.671,5850,sfm
10,XGB,0.657,5850,sfm
3,NN,0.586,5800,sfm
9,NN,0.667,5800,sfm
1,XGB,0.526,5750,sfm
12,SVM,0.724,5700,sfm
9,XGB,0.663,5700,sfm
11,RF,0.677,5650,sfm
10,NN,0.66,5650,sfm
1,NN,0.527,5550,sfm
13,SVM,0.718,5500,sfm
3,LR,0.498,5450,sfm
3,LDA,0.498,5450,sfm
12,XGB,0.649,5350,sfm
12,RF,0.673,5300,sfm
1,LDA,0.509,5300,sfm
1,LR,0.509,5300,sfm
13,XGB,0.661,5300,sfm
2,LDA,0.514,5250,sfm
2,LR,0.514,5250,sfm
11,NN,0.685,5150,sfm
13,RF,0.682,5150,sfm
13,NN,0.646,5100,sfm
14,SVM,0.705,5050,sfm
1,RF,0.497,5050,sfm
12,NN,0.672,5050,sfm
15,SVM,0.688,5000,sfm
4,LDA,0.519,4950,sfm
4,LR,0.519,4950,sfm
5,LDA,0.51,4900,sfm
5,LR,0.511,4900,sfm
15,RF,0.665,4900,sfm
14,XGB,0.662,4850,sfm
6,LDA,0.51,4750,sfm
16,SVM,0.687,4750,sfm
6,LR,0.51,4750,sfm
14,RF,0.694,4700,sfm
17,SVM,0.7,4650,sfm
14,NN,0.656,4600,sfm
17,XGB,0.659,4600,sfm
7,LR,0.511,4600,sfm
7,LDA,0.509,4600,sfm
15,XGB,0.641,4500,sfm
16,XGB,0.644,4350,sfm
16,RF,0.68,4350,sfm
17,RF,0.677,4300,sfm
18,SVM,0.683,4150,sfm
9,LDA,0.515,4150,sfm
8,LR,0.508,4150,sfm
8,LDA,0.508,4150,sfm
9,LR,0.513,4150,sfm
16,NN,0.646,4100,sfm
19,SVM,0.68,4100,sfm
18,XGB,0.655,4050,sfm
18,RF,0.687,3950,sfm
15,NN,0.614,3900,sfm
20,SVM,0.684,3850,sfm
17,NN,0.636,3700,sfm
21,SVM,0.677,3650,sfm
10,LR,0.514,3600,sfm
22,XGB,0.647,3550,sfm
22,SVM,0.662,3550,sfm
10,LDA,0.519,3550,sfm
19,XGB,0.633,3500,sfm
19,RF,0.669,3500,sfm
20,XGB,0.662,3500,sfm
18,NN,0.626,3500,sfm
20,RF,0.685,3450,sfm
11,LR,0.516,3400,sfm
11,LDA,0.519,3350,sfm
23,SVM,0.682,3350,sfm
21,XGB,0.651,3150,sfm
12,LDA,0.519,3150,sfm
12,LR,0.522,3100,sfm
19,NN,0.605,3100,sfm
22,RF,0.674,3050,sfm
23,RF,0.674,3050,sfm
20,NN,0.629,2950,sfm
21,RF,0.664,2850,sfm
23,XGB,0.645,2850,sfm
14,LDA,0.517,2750,sfm
24,SVM,0.65,2750,sfm
25,RF,0.67,2700,sfm
14,LR,0.515,2700,sfm
13,LR,0.522,2700,sfm
25,SVM,0.661,2700,sfm
13,LDA,0.522,2650,sfm
22,NN,0.606,2600,sfm
24,RF,0.667,2550,sfm
23,NN,0.625,2550,sfm
24,XGB,0.631,2500,sfm
25,XGB,0.644,2450,sfm
15,LDA,0.503,2400,sfm
15,LR,0.501,2350,sfm
21,NN,0.581,2250,sfm
24,NN,0.598,2250,sfm
18,LR,0.53,2100,sfm
18,LDA,0.529,2050,sfm
16,LDA,0.496,1950,sfm
16,LR,0.5,1900,sfm
25,NN,0.601,1700,sfm
17,LDA,0.511,1600,sfm
17,LR,0.512,1550,sfm
20,LR,0.505,1400,sfm
20,LDA,0.504,1400,sfm
21,LDA,0.517,1050,sfm
21,LR,0.518,1050,sfm
19,LDA,0.497,1000,sfm
19,LR,0.501,1000,sfm
23,LDA,0.504,650,sfm
23,LR,0.505,600,sfm
22,LDA,0.496,500,sfm
22,LR,0.495,500,sfm
25,LDA,0.511,350,sfm
25,LR,0.512,250,sfm
24,LR,0.492,200,sfm
24,LDA,0.494,200,sfm
