Variable,Shapiro Statistic,Shapiro P-Value
0,0.9995935559272766,0.40014320611953735
1,0.9997479319572449,0.8414493799209595
2,0.9995281100273132,0.2594793438911438
3,0.9996542930603027,0.5680693984031677
4,0.9996384978294373,0.5217502117156982
5,0.999754011631012,0.8564702868461609
6,0.9996181130409241,0.46429893374443054
7,0.9996936917304993,0.687605619430542
8,0.999729573726654,0.7927348017692566
9,0.9996005296707153,0.4177156686782837
10,0.9997851252555847,0.9220475554466248
11,0.999667227268219,0.6069942712783813
12,0.999604344367981,0.4275686740875244
13,0.9995472431182861,0.29584071040153503
14,0.9995609521865845,0.32437118887901306
15,0.9996015429496765,0.42039981484413147
16,0.9990615248680115,0.007167208474129438
17,0.999327540397644,0.05771936476230621
18,0.9997957348823547,0.9397104978561401
19,0.999671459197998,0.6199387311935425
20,0.9996821880340576,0.6526188254356384
21,0.9995320439338684,0.266650915145874
22,0.9995352029800415,0.27249616384506226
23,0.9996300339698792,0.49741846323013306
24,0.9996975064277649,0.69922935962677
25,0.9998030066490173,0.9502886533737183
26,0.999752938747406,0.8538819551467896
27,0.9994582533836365,0.15695656836032867
28,0.9997211694717407,0.7689809799194336
29,0.9994639158248901,0.16367711126804352
30,0.999725341796875,0.7809082865715027
31,0.9996494054794312,0.5536316633224487
32,0.9996423125267029,0.5327461361885071
33,0.9995362162590027,0.27450209856033325
34,0.9996550679206848,0.570370078086853
35,0.9994715452194214,0.17310114204883575
36,0.9997987747192383,0.9442974925041199
37,0.9995582699775696,0.31868571043014526
38,0.9997110366821289,0.739630401134491
39,0.9996769428253174,0.6366320252418518
40,0.9996803402900696,0.6470000743865967
41,0.9997683167457581,0.8890345096588135
42,0.9993939399719238,0.09654819220304489
43,0.9997612833976746,0.8735823631286621
44,0.999708354473114,0.7315635085105896
45,0.9996843338012695,0.6591985821723938
46,0.9997305870056152,0.7955500483512878
47,0.9998526573181152,0.992019534111023
48,0.9995330572128296,0.2685977816581726
49,0.9991408586502075,0.013311496935784817
50,0.9995909333229065,0.39361825585365295
51,0.999529242515564,0.2616114318370819
52,0.9996408224105835,0.5284716486930847
53,0.9995930194854736,0.39877429604530334
54,0.9997432827949524,0.829597532749176
55,0.9997020363807678,0.7127637267112732
56,0.9996640682220459,0.597459077835083
57,0.9992915391921997,0.04353075847029686
58,0.9994824528694153,0.18749694526195526
59,0.9994637370109558,0.1634661704301834
60,0.999799907207489,0.9459356069564819
61,0.9996858835220337,0.6638327240943909
62,0.9996770024299622,0.6368620991706848
63,0.9994195699691772,0.11742610484361649
64,0.9992037415504456,0.02182014286518097
65,0.9997209310531616,0.7683490514755249
66,0.9997979998588562,0.9431384205818176
67,0.9996063709259033,0.4329061806201935
68,0.9995055794715881,0.22145840525627136
69,0.9996680021286011,0.6094782948493958
70,0.9995683431625366,0.3404715657234192
71,0.9997499585151672,0.846574068069458
72,0.9995410442352295,0.2836867570877075
73,0.9997445940971375,0.8329561948776245
74,0.999684751033783,0.6603696942329407
75,0.9997204542160034,0.7670034766197205
76,0.9995859265327454,0.3813725709915161
77,0.9997162818908691,0.7549196481704712
78,0.9996971487998962,0.6980672478675842
79,0.9996315240859985,0.5016082525253296
80,0.9990118145942688,0.0048795719631016254
81,0.9997362494468689,0.81106036901474
82,0.9997691512107849,0.8908148407936096
83,0.9997662305831909,0.8846360445022583
84,0.9993768930435181,0.08469861000776291
85,0.9997481107711792,0.8419191837310791
86,0.9996334314346313,0.5070315003395081
87,0.9997156262397766,0.7529650330543518
88,0.9994086027145386,0.108029805123806
89,0.9994714856147766,0.1730092465877533
90,0.9995622634887695,0.32712697982788086
91,0.9996823668479919,0.653108537197113
92,0.9997840523719788,0.9201884865760803
93,0.9998214244842529,0.9715757369995117
94,0.9996308088302612,0.4995957016944885
95,0.9996073842048645,0.43554165959358215
96,0.9994577169418335,0.1563522219657898
97,0.9997393488883972,0.8192324042320251
98,0.999617874622345,0.46360844373703003
99,0.9994129538536072,0.11164858192205429
100,0.9996321201324463,0.5033227205276489
101,0.9995469450950623,0.2952418625354767
102,0.9996955990791321,0.6933363676071167
103,0.9996367692947388,0.5166335105895996
104,0.9995238184928894,0.2519177794456482
105,0.9997949004173279,0.9384158849716187
106,0.9995346665382385,0.2715921700000763
107,0.9997507333755493,0.8483716249465942
108,0.9996117353439331,0.44704651832580566
109,0.9997022747993469,0.7135578989982605
110,0.9998623132705688,0.9951556324958801
111,0.9997975826263428,0.9425292015075684
112,0.9995625615119934,0.3277900516986847
113,0.9997523427009583,0.8523476123809814
114,0.9997259378433228,0.7825493812561035
115,0.9998316168785095,0.9802358150482178
116,0.9995220303535461,0.2487618774175644
117,0.9994806051254272,0.18501518666744232
118,0.9991325736045837,0.012473588809370995
119,0.9997598528862,0.8702096343040466
120,0.9996243715286255,0.4814910590648651
121,0.9996879696846008,0.6701444983482361
122,0.9997153282165527,0.7520665526390076
123,0.9995649456977844,0.3330468535423279
124,0.9995428919792175,0.2872307598590851
125,0.9996002316474915,0.41698259115219116
126,0.9995145797729492,0.23609516024589539
127,0.9995182156562805,0.24220286309719086
128,0.9995062351226807,0.2225092351436615
129,0.9995318055152893,0.2662400007247925
130,0.9998161196708679,0.9662468433380127
131,0.9996647238731384,0.5994496941566467
132,0.9995497465133667,0.3009953796863556
133,0.9997342824935913,0.8056355118751526
134,0.9995049238204956,0.22046494483947754
135,0.9997416734695435,0.8253074884414673
136,0.9995681047439575,0.3399905264377594
137,0.9996154308319092,0.45707085728645325
138,0.9996609091758728,0.5880393981933594
139,0.9997252821922302,0.7807892560958862
140,0.9992659687995911,0.03561520203948021
141,0.9997891783714294,0.9291641116142273
142,0.999767541885376,0.8874559998512268
143,0.9997155666351318,0.7528045773506165
144,0.9995632171630859,0.32918575406074524
145,0.999552845954895,0.30729782581329346
146,0.9997352361679077,0.8082234263420105
147,0.9993693828582764,0.07992018014192581
148,0.9995583891868591,0.3188246190547943
149,0.9997223615646362,0.7725069522857666
150,0.999699056148529,0.703833281993866
151,0.9993449449539185,0.06611838936805725
152,0.9994421005249023,0.1391749233007431
153,0.9994361996650696,0.13308881223201752
154,0.9993122816085815,0.051231589168310165
155,0.9998387694358826,0.9851141571998596
156,0.9997499585151672,0.8465041518211365
157,0.999655544757843,0.5718141794204712
158,0.9996258020401001,0.48563188314437866
159,0.9996611475944519,0.5885881185531616
160,0.9996415972709656,0.5305971503257751
161,0.999763548374176,0.8786728382110596
162,0.999589204788208,0.38938212394714355
163,0.9996338486671448,0.5082387328147888
164,0.9993901252746582,0.09377232193946838
165,0.9997566342353821,0.8627455830574036
166,0.9995831847190857,0.37471622228622437
167,0.9998417496681213,0.986847460269928
168,0.9995278716087341,0.2590700387954712
169,0.9995632171630859,0.3292672336101532
170,0.9995537400245667,0.3091792166233063
171,0.9993414878845215,0.0643409788608551
172,0.9994260668754578,0.12333409488201141
173,0.999611496925354,0.44648849964141846
174,0.9995301961898804,0.2632809281349182
175,0.9996744394302368,0.6290400624275208
176,0.9995244741439819,0.25303807854652405
177,0.9997493624687195,0.8449897170066833
178,0.9993857145309448,0.0906464233994484
179,0.9992403984069824,0.02910999394953251
180,0.9994515180587769,0.14929571747779846
181,0.9997138977050781,0.7479109168052673
182,0.9994808435440063,0.18530957400798798
183,0.9997437000274658,0.8306203484535217
184,0.9992684721946716,0.03631768003106117
185,0.9997410178184509,0.8236563801765442
186,0.9994166493415833,0.11483447998762131
187,0.9996352791786194,0.5123796463012695
188,0.99974524974823,0.8346412181854248
189,0.9995558261871338,0.31341680884361267
190,0.9996756315231323,0.6325739026069641
191,0.999735414981842,0.8088231682777405
192,0.9997360110282898,0.8102933764457703
193,0.9998043775558472,0.9521151781082153
194,0.999640941619873,0.5287230610847473
195,0.9995807409286499,0.3689740300178528
196,0.9997065663337708,0.7262435555458069
197,0.9995361566543579,0.27430737018585205
198,0.9994443655014038,0.1415547877550125
199,0.9996222853660583,0.47574132680892944
200,0.9575812816619873,7.118297015942744e-36
201,0.9529447555541992,2.2672980005767482e-37
202,0.9540097713470459,4.881968697941693e-37
203,0.9538562893867493,4.367563466283521e-37
204,0.9528738260269165,2.155427523702981e-37
205,0.9547604918479919,8.454900422449714e-37
206,0.9534593820571899,3.2787207041322402e-37
207,0.9526469111442566,1.83409723019906e-37
208,0.954321026802063,6.125051373126312e-37
209,0.9530222415924072,2.3962259791892945e-37
210,0.9566974639892578,3.6086090973005874e-36
211,0.9580079913139343,9.920860223746132e-36
212,0.9576860070228577,7.720682625948508e-36
213,0.9535155892372131,3.414232991865079e-37
214,0.9573397636413574,5.905604984387587e-36
215,0.9540915489196777,5.181099060654394e-37
216,0.953620970249176,3.6838448342709622e-37
217,0.9544214606285095,6.5919698508409525e-37
218,0.956773042678833,3.8228731480066075e-36
219,0.9536804556846619,3.845664314645895e-37
220,0.9546316266059875,7.690239876436948e-37
221,0.9548937082290649,9.327414763418107e-37
222,0.951421856880188,7.75302511018296e-38
223,0.956870973110199,4.119855869482497e-36
224,0.9531285166740417,2.585494318091176e-37
225,0.9548552632331848,9.066554422285502e-37
226,0.9535928964614868,3.609904704229539e-37
227,0.9533399939537048,3.008937118586569e-37
228,0.9556432962417603,1.6279690959561342e-36
229,0.9536033868789673,3.637291681416303e-37
230,0.9540543556213379,5.042842694216776e-37
231,0.9542680382728577,5.89265510323209e-37
232,0.9543287754058838,6.159850658669969e-37
