,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.496288537979126,0.005678136065470633,0.08932366371154785,0.008530137687513071,rbf,0.1,10.0,"[100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105]}",6275.0,6775.0,7150.0,6525.0,6962.5,6737.5,310.2418411497714,4
1,1.862135124206543,0.06768071826753906,0.04858818054199219,0.0003799849343394387,sigmoid,0.1,10.0,"[100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105]}",5525.0,5400.0,4775.0,5962.5,5587.5,5450.0,386.0861302870125,27
2,1.9672964572906495,0.200723543347186,0.09373250007629394,0.023403055745624835,sigmoid,0.001,1.0,"[8, 100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105]}",5075.0,5512.5,5700.0,5137.5,5012.5,5287.5,269.8379143115363,35
3,1.5684311866760254,0.012569838963034005,0.10764827728271484,0.007041301262905448,rbf,0.001,0.1,"[100, 102, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4000.0,3562.5,3562.5,3250.0,3437.5,3562.5,246.85522072664375,100
4,9.951180505752564,1.2132548016867482,0.047806835174560545,0.002982305776608993,linear,0.01,100.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.01, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4187.5,4937.5,4625.0,3437.5,4250.0,4287.5,504.0461288413988,78
5,1.9151083469390868,0.01881890680032228,0.08357152938842774,0.0033593602059354007,sigmoid,0.0001,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4000.0,3750.0,3562.5,3375.0,3750.0,3687.5,209.16500663351889,98
6,1.2530519485473632,0.021497172786162564,0.045049190521240234,0.0027064502396158658,linear,0.1,1.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.1, 'model__C': 1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
7,1.5427576065063477,0.0834815505282728,0.06219239234924316,0.003527949568646049,sigmoid,1.0,1.0,"[8, 100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 1, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105]}",4700.0,4450.0,4950.0,4762.5,4762.5,4725.0,161.05123408406408,59
8,1.1282935619354248,0.029155596330202354,0.054747390747070315,0.004330526036374917,poly,0.1,1.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5000.0,5312.5,5250.0,5062.5,4750.0,5075.0,199.21721813136534,49
9,1.580157709121704,0.019744969957962693,0.10126667022705078,0.003535576227170867,rbf,0.001,10.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4625.0,5312.5,4937.5,5687.5,4875.0,5087.5,372.0719016534304,48
