,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.5528104305267334,0.21898233724097937,0.07729334831237793,0.0008774616551064548,rbf,0.1,10.0,"[100, 103, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 103, 102, 105]}",6512.5,7137.5,7012.5,6450.0,6950.0,6812.5,277.82638463616087,3
1,1.716553544998169,0.09785895347844989,0.05201115608215332,0.0007659043369907633,sigmoid,0.1,10.0,"[100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 103, 102, 105]}",3887.5,5137.5,4825.0,4325.0,5012.5,4637.5,466.0337970576812,56
2,1.8155078411102294,0.002685623087431502,0.08099050521850586,0.0006443440971220745,sigmoid,0.001,1.0,"[8, 100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 1, 'feature_selection__columns': [8, 100, 103, 102, 105]}",4875.0,5000.0,5187.5,5062.5,5312.5,5087.5,151.03807466993214,39
3,1.6515984535217285,0.17044323859088958,0.12303962707519531,0.03630779206425817,rbf,0.001,0.1,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3800.0,3362.5,3550.0,3112.5,3362.5,3437.5,228.4458360312133,100
4,13.201245450973511,2.909307392561396,0.04212207794189453,0.0015062809541447396,linear,0.01,100.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.01, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4112.5,4612.5,4362.5,3237.5,3925.0,4050.0,467.70717334674265,81
5,1.8562480449676513,0.004112635132277018,0.08351802825927734,0.0004104567061298269,sigmoid,0.0001,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3862.5,3487.5,3550.0,3050.0,3487.5,3487.5,259.20551691659654,98
6,1.227635431289673,0.0103118778792035,0.04374661445617676,0.0013384494702820048,linear,0.1,1.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.1, 'model__C': 1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3987.5,4487.5,4175.0,4362.5,4237.5,4250.0,169.5582495781317,70
7,1.631225824356079,0.0601185371555764,0.06194911003112793,0.000469447395532376,sigmoid,1.0,1.0,"[8, 100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 1, 'model__C': 1, 'feature_selection__columns': [8, 100, 103, 102, 105]}",4312.5,4750.0,4312.5,4375.0,4250.0,4400.0,179.40875118009154,62
8,1.1239378929138184,0.006479019231539366,0.047021913528442386,0.0012162300331016542,poly,0.1,1.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",4800.0,5300.0,5050.0,3800.0,4237.5,4637.5,547.1517157059823,56
9,1.5723669052124023,0.007579025649868211,0.10308637619018554,0.0013676470570636035,rbf,0.001,10.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4862.5,5300.0,4987.5,5800.0,4925.0,5175.0,346.8609231377902,34
10,1.215860939025879,0.01393182285788669,0.0415743350982666,0.0008414780417327182,linear,0.001,1.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.001, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4112.5,4612.5,4362.5,3237.5,3925.0,4050.0,467.70717334674265,81
11,1.4785888671875,0.024018322227419828,0.04693694114685058,0.0021906256641662826,poly,0.1,10.0,"[8, 100, 103, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [8, 100, 103, 102, 105]}",3937.5,4937.5,4187.5,5375.0,5812.5,4850.0,704.4501401802686,52
12,2.7110241413116456,0.039826389911665004,0.042093515396118164,0.0009747391308103488,linear,0.0001,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3987.5,4487.5,4175.0,4362.5,4237.5,4250.0,169.5582495781317,70
13,1.0880771636962892,0.015907545566897014,0.0481076717376709,0.002743771365787202,poly,0.01,0.1,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",4362.5,4112.5,4612.5,4237.5,3675.0,4200.0,310.2418411497714,78
14,2.294564199447632,0.010680464398206775,0.08507380485534669,0.0012816001240742972,rbf,1.0,10.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4362.5,4362.5,4737.5,4925.0,5362.5,4750.0,375.8324094593227,55
15,1.087816095352173,0.01834265807708962,0.04671144485473633,0.0012358870656550016,poly,0.1,0.1,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3612.5,3675.0,4050.0,3800.0,3862.5,3800.0,153.09310892394862,95
16,1.6850777626037599,0.2613691499139867,0.1176119327545166,0.03463853545312763,rbf,0.001,10.0,"[100, 103, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [100, 103, 102, 105]}",5262.5,5512.5,4825.0,5075.0,5575.0,5250.0,277.82638463616087,27
17,1.4756072998046874,0.0025247947823098557,0.09425110816955566,0.001354077874289651,rbf,0.01,1.0,"[100, 103, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1, 'feature_selection__columns': [100, 103, 102, 105]}",6637.5,6825.0,6887.5,6762.5,7262.5,6875.0,210.65374432940897,2
18,2.6185624599456787,0.028304812088983226,0.041648149490356445,0.0005765693214209922,linear,1.0,10.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4112.5,4612.5,4362.5,3237.5,3925.0,4050.0,467.70717334674265,81
19,1.0230530738830566,0.01697756028837551,0.04494166374206543,0.0009792094567806938,poly,0.01,100.0,"[100, 103, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 100, 'feature_selection__columns': [100, 103, 102, 105]}",5950.0,5450.0,6262.5,5762.5,5887.5,5862.5,263.98390102428596,14
20,1.3871469020843505,0.008004099909765448,0.07774667739868164,0.0005976435702251685,rbf,1.0,1.0,"[100, 103, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 1, 'model__C': 1, 'feature_selection__columns': [100, 103, 102, 105]}",6637.5,6825.0,6700.0,6137.5,6825.0,6625.0,254.33737436719755,6
21,1.8296803951263427,0.009134742997187925,0.08059792518615723,0.0007951104607279391,sigmoid,0.001,100.0,"[8, 100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 100, 'feature_selection__columns': [8, 100, 103, 102, 105]}",4625.0,5062.5,5312.5,4937.5,5062.5,5000.0,223.60679774997897,48
22,1.5061290740966797,0.005160950769595643,0.10266437530517578,0.0011851881293902904,rbf,0.001,0.1,"[100, 103, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 103, 102, 105]}",4887.5,5325.0,5387.5,4887.5,5012.5,5100.0,215.05813167606567,37
23,18.885815858840942,7.557918064158821,0.04015531539916992,0.0005298355565153467,linear,0.0001,100.0,"[8, 100, 103, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [8, 100, 103, 102, 105]}",4687.5,5062.5,5312.5,4937.5,5125.0,5025.0,207.66559657295187,42
24,2.3649905204772947,0.03840990693858657,0.04423713684082031,0.0007051268393666309,poly,0.1,100.0,"[100, 103, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 100, 'feature_selection__columns': [100, 103, 102, 105]}",5512.5,5512.5,5825.0,5825.0,5637.5,5662.5,140.3121520040228,20
25,1.7752977848052978,0.0017815052411529627,0.07911438941955566,0.0009280113384019113,sigmoid,0.0001,1.0,"[100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 1, 'feature_selection__columns': [100, 103, 102, 105]}",5012.5,5325.0,5387.5,5200.0,5387.5,5262.5,142.52192813739225,24
26,2.339908218383789,0.024336094805061752,0.08582863807678223,0.0013823133580636354,rbf,1.0,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",4987.5,4862.5,5362.5,4862.5,4987.5,5012.5,183.71173070873834,47
27,1.785512113571167,0.006450910355494927,0.07899775505065917,0.001265231107534574,sigmoid,0.001,10.0,"[100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [100, 103, 102, 105]}",5075.0,5200.0,5450.0,5200.0,5387.5,5262.5,136.93063937629154,24
28,1.6320179939270019,0.14866546022322474,0.12080693244934082,0.03234663933734291,rbf,0.0001,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3925.0,3800.0,4237.5,3112.5,3737.5,3762.5,367.84847423905404,97
29,1.8904931545257568,0.0714307693255852,0.08365297317504883,0.00035207945719116014,sigmoid,0.0001,1.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4362.5,3925.0,3737.5,3425.0,3800.0,3850.0,304.6514401738485,92
30,1.7857341289520263,0.2394641741176619,0.1227151870727539,0.035526692625594034,rbf,0.01,0.1,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",4487.5,5112.5,4862.5,5175.0,5112.5,4950.0,254.95097567963924,50
31,2.6203813552856445,0.02963126072753998,0.04221658706665039,0.0013755997103203478,linear,0.01,10.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.01, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4112.5,4612.5,4362.5,3237.5,3925.0,4050.0,467.70717334674265,81
32,3453.255146789551,294.2678442069163,0.04734582901000976,0.0026291416378739644,poly,1.0,100.0,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'poly', 'model__gamma': 1, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4550.0,4362.5,4987.5,4550.0,4175.0,4525.0,269.8379143115363,59
33,1.6025070667266845,0.0018668820344423683,0.10529985427856445,0.001121937255261608,rbf,0.01,0.1,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",5050.0,5425.0,5237.5,5862.5,4675.0,5250.0,394.0970692608612,27
34,1.0181046962738036,0.0021328897655271107,0.044597434997558597,0.00043161737643009323,poly,0.0001,10.0,"[8, 100, 103, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [8, 100, 103, 102, 105]}",5562.5,5437.5,5875.0,5687.5,5500.0,5612.5,155.1209205748857,21
