model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,test_score,cv_1,cv_2,cv_3,cv_4,cv_mean,cv_std,columns
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.6187255599871848,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.07969454818643935, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=5, max_leaves=None,
                           min_child_weight=2, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,5,0.0796945481864393,0.7453942447208348,0.6187255599871848,2,1140.0,1210.0,1190.0,1250.0,1260.0,1227.5,28.613807855649,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.6210592611560484,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.0013066739238053278, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=3, max_leaves=None,
                           min_child_weight=8, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,3,0.0013066739238053,0.8728673384861885,0.6210592611560484,8,1290.0,1360.0,1280.0,1300.0,1390.0,1332.5,44.37059837324712,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.25172215514436236,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.08706020878304858, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=3, max_leaves=None,
                           min_child_weight=2, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,3,0.0870602087830485,0.8408205087604007,0.2517221551443623,2,1160.0,1310.0,1230.0,1280.0,1330.0,1287.5,37.66629793329841,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.46034776771000996,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.0040596116104843075, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=4, max_leaves=None,
                           min_child_weight=3, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,4,0.0040596116104843,0.548518610050626,0.4603477677100099,3,1220.0,1350.0,1300.0,1310.0,1400.0,1340.0,39.370039370059054,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.3980437511290071,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.0019010245319870357, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=6, max_leaves=None,
                           min_child_weight=5, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,6,0.001901024531987,0.3275374161084572,0.3980437511290071,5,1310.0,1310.0,1220.0,1320.0,1390.0,1310.0,60.41522986797286,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.6127938404189404,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.002508115686045232, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=7, max_leaves=None,
                           min_child_weight=1, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,7,0.0025081156860452,0.538522716492931,0.6127938404189404,1,1260.0,1340.0,1250.0,1330.0,1380.0,1325.0,47.16990566028302,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.9514412603906666,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.002193048555664369, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=6, max_leaves=None,
                           min_child_weight=10, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,6,0.0021930485556643,0.1117990133360155,0.9514412603906666,10,1180.0,1270.0,1170.0,1280.0,1410.0,1282.5,85.25696452489967,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.700021375186549,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.0040665633135147945, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=7, max_leaves=None,
                           min_child_weight=5, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,7,0.0040665633135147,0.1427885083060646,0.700021375186549,5,1280.0,1300.0,1270.0,1340.0,1460.0,1342.5,72.24091638399945,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.9138543819748429,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.009780337016659405, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=3, max_leaves=None,
                           min_child_weight=3, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,3,0.0097803370166594,0.0826690950594574,0.9138543819748428,3,1280.0,1300.0,1240.0,1280.0,1470.0,1322.5,87.85641695402789,"['x100', 'x101', 'x105']"
"XGBClassifierWithThreshold(base_score=None, booster=None, callbacks=None,
                           colsample_bylevel=None, colsample_bynode=None,
                           colsample_bytree=0.5693747653761156,
                           early_stopping_rounds=None, enable_categorical=False,
                           eval_metric=None, feature_types=None, gamma=None,
                           gpu_id=None, grow_policy=None, importance_type=None,
                           interaction_constraints=None,
                           learning_rate=0.004201672054372531, max_bin=None,
                           max_cat_threshold=None, max_cat_to_onehot=None,
                           max_delta_step=None, max_depth=6, max_leaves=None,
                           min_child_weight=2, missing=nan,
                           monotone_constraints=None, n_estimators=1000,
                           n_jobs=None, num_parallel_tree=None, predictor=None,
                           random_state=42, ...)",1000,6,0.0042016720543725,0.5440646201189203,0.5693747653761156,2,1240.0,1330.0,1260.0,1330.0,1420.0,1335.0,56.789083458002736,"['x100', 'x101', 'x105']"
