iter	Passed	Remaining
0	325	81063
1	709	87964
2	1076	88628
3	1454	89425
4	1851	90711
5	2237	90997
6	2617	90866
7	2997	90686
8	3373	90323
9	3766	90400
10	4127	89673
11	4508	89418
12	4879	88948
13	5254	88571
14	5627	88161
15	5999	87743
16	6371	87329
17	6755	87076
18	7120	86568
19	7498	86234
20	7954	86741
21	8439	87467
22	8829	87145
23	9217	86801
24	9580	86224
25	9963	85843
26	10336	85373
27	10705	84877
28	11074	84396
29	11450	83967
30	11814	83462
31	12183	82998
32	12554	82556
33	12927	82128
34	13301	81710
35	13682	81332
36	14045	80858
37	14425	80481
38	14797	80060
39	15181	79703
40	15550	79270
41	15921	78848
42	16311	78522
43	16678	78084
44	17046	77654
45	17417	77242
46	17784	76812
47	18166	76450
48	18529	76010
49	18912	75650
50	19284	75245
51	19657	74849
52	20036	74476
53	20405	74065
54	20772	73646
55	21148	73262
56	21525	72883
57	21893	72475
58	22263	72074
59	22632	71670
60	23009	71293
61	23371	70867
62	23748	70490
63	24123	70110
64	24496	69721
65	24866	69323
66	25247	68958
67	25621	68574
68	26016	68246
69	26396	67876
70	26761	67468
71	27136	67088
72	27504	66687
73	27883	66317
74	28253	65924
75	28629	65547
76	28999	65153
77	29374	64775
78	29744	64383
79	30117	63999
80	30497	63631
81	30879	63264
82	31250	62877
83	31622	62491
84	31993	62105
85	32368	61726
86	32731	61325
87	33104	60942
88	33476	60559
89	33851	60179
90	34212	59777
91	34586	59398
92	34946	58996
93	35323	58621
94	35694	58238
95	36068	57860
96	36437	57473
97	36808	57090
98	37184	56715
99	37564	56346
100	37933	55961
101	38311	55589
102	38683	55208
103	39056	54828
104	39421	54439
105	39798	54066
106	40172	53687
107	40549	53314
108	40915	52927
109	41284	52543
110	41658	52167
111	42025	51781
112	42397	51402
113	42768	51021
114	43130	50631
115	43496	50245
116	43865	49864
117	44240	49489
118	44605	49103
119	44974	48722
120	45347	48346
121	45727	47976
122	46094	47593
123	46470	47220
124	46840	46840
125	47212	46463
126	47578	46079
127	47952	45704
128	48321	45324
129	48690	44944
130	49061	44567
131	49435	44192
132	49804	43813
133	50173	43433
134	50556	43066
135	50935	42695
136	51307	42319
137	51690	41951
138	52047	41563
139	52429	41194
140	52796	40814
141	53167	40436
142	53532	40055
143	53900	39676
144	54269	39298
145	54639	38921
146	55012	38545
147	55385	38170
148	55756	37794
149	56124	37416
150	56503	37045
151	56875	36669
152	57255	36298
153	57640	35932
154	58009	35554
155	58386	35181
156	58754	34803
157	59135	34433
158	59513	34061
159	59906	33697
160	60297	33331
161	60670	32956
162	61039	32579
163	61416	32206
164	61781	31827
165	62156	31452
166	62523	31074
167	62897	30699
168	63266	30322
169	63636	29946
170	64025	29579
171	64415	29211
172	64818	28849
173	65205	28480
174	65609	28118
175	66040	27767
176	66452	27407
177	66865	27046
178	67265	26680
179	67689	26323
180	68100	25960
181	68515	25599
182	68897	25224
183	69292	24854
184	69690	24485
185	70083	24114
186	70455	23736
187	70875	23373
188	71245	22994
189	71614	22615
190	71995	22239
191	72408	21873
192	72845	21514
193	73261	21147
194	73650	20773
195	74059	20404
196	74474	20036
197	74867	19662
198	75287	19294
199	75661	18915
200	76027	18534
201	76404	18155
202	76764	17773
203	77124	17390
204	77503	17013
205	77870	16632
206	78238	16252
207	78600	15871
208	78960	15489
209	79327	15110
210	79685	14728
211	80053	14349
212	80417	13969
213	80785	13590
214	81150	13210
215	81511	12830
216	81905	12455
217	82306	12081
218	82702	11706
219	83190	11344
220	83977	11019
221	84476	10654
222	85143	10308
223	85675	9944
224	86078	9564
225	86462	9181
226	86849	8799
227	87248	8418
228	87663	8039
229	88066	7657
230	88455	7275
231	88852	6893
232	89217	6509
233	89596	6126
234	89965	5742
235	90333	5358
236	90716	4976
237	91120	4594
238	91497	4211
239	91875	3828
240	92256	3445
241	92653	3062
242	93024	2679
243	93407	2296
244	93794	1914
245	94240	1532
246	94661	1149
247	95091	766
248	95512	383
249	95942	0
