,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,WeightedEnsemble_L2,0.695364238410596,0.6957831325301205,precision,1.1853315830230713,0.43099164962768555,91.60697841644287,0.009153604507446289,0.0011494159698486328,1.1677844524383545,2,True,54,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
1,NeuralNetFastAI_r11_BAG_L1,0.6730769230769231,0.6786885245901639,precision,0.3590054512023926,0.16814970970153809,19.421152591705322,0.3590054512023926,0.16814970970153809,19.421152591705322,1,True,34,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
2,NeuralNetTorch_r158_BAG_L1,0.6484848484848484,0.6630727762803235,precision,0.20936918258666992,0.0805819034576416,29.83713459968567,0.20936918258666992,0.0805819034576416,29.83713459968567,1,True,51,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
3,NeuralNetFastAI_r143_BAG_L1,0.6197183098591549,0.6515291936978684,precision,0.24866485595703125,0.05785202980041504,7.3589186668396,0.24866485595703125,0.05785202980041504,7.3589186668396,1,True,41,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
4,NeuralNetTorch_r30_BAG_L1,0.6095890410958904,0.6338709677419355,precision,0.2163679599761963,0.09743785858154297,29.576030254364014,0.2163679599761963,0.09743785858154297,29.576030254364014,1,True,30,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
5,CatBoost_BAG_L1,0.5964391691394659,0.6265590608950844,precision,0.061424970626831055,0.010233879089355469,4.883606433868408,0.061424970626831055,0.010233879089355469,4.883606433868408,1,True,7,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
6,CatBoost_r13_BAG_L1,0.5888594164456233,0.6242774566473989,precision,0.06385231018066406,0.015059947967529297,11.98122501373291,0.06385231018066406,0.015059947967529297,11.98122501373291,1,True,25,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
7,CatBoost_r69_BAG_L1,0.5864864864864865,0.6325214899713467,precision,0.0606231689453125,0.01111912727355957,3.9793264865875244,0.0606231689453125,0.01111912727355957,3.9793264865875244,1,True,37,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
8,NeuralNetFastAI_r37_BAG_L1,0.5858895705521472,0.6119733924611973,precision,0.24132871627807617,0.08592438697814941,10.008302211761475,0.24132871627807617,0.08592438697814941,10.008302211761475,1,True,53,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
9,NeuralNetTorch_r41_BAG_L1,0.5855614973262032,0.6037267080745342,precision,0.1245431900024414,0.05117487907409668,10.946711301803589,0.1245431900024414,0.05117487907409668,10.946711301803589,1,True,48,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
10,CatBoost_r86_BAG_L1,0.5839598997493735,0.6211646837820914,precision,0.07089519500732422,0.009205818176269531,10.700588941574097,0.07089519500732422,0.009205818176269531,10.700588941574097,1,True,52,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
11,CatBoost_r50_BAG_L1,0.5833333333333334,0.6257440476190477,precision,0.06228923797607422,0.013631343841552734,3.9390058517456055,0.06228923797607422,0.013631343841552734,3.9390058517456055,1,True,33,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
12,CatBoost_r177_BAG_L1,0.5785340314136126,0.6225930680359435,precision,0.09081554412841797,0.010313987731933594,5.239022970199585,0.09081554412841797,0.010313987731933594,5.239022970199585,1,True,14,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
13,CatBoost_r167_BAG_L1,0.5780487804878048,0.6135483870967742,precision,0.05844402313232422,0.01235342025756836,6.569172620773315,0.05844402313232422,0.01235342025756836,6.569172620773315,1,True,46,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
14,NeuralNetTorch_r22_BAG_L1,0.5725190839694656,0.6274875621890548,precision,0.21785688400268555,0.09520483016967773,23.06605887413025,0.21785688400268555,0.09520483016967773,23.06605887413025,1,True,20,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
15,NeuralNetFastAI_r103_BAG_L1,0.5719424460431655,0.6092233009708737,precision,0.25203418731689453,0.08777761459350586,14.087088108062744,0.25203418731689453,0.08777761459350586,14.087088108062744,1,True,38,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
16,NeuralNetTorch_r14_BAG_L1,0.5718390804597702,0.6069686411149826,precision,0.11421656608581543,0.044165849685668945,7.744227170944214,0.11421656608581543,0.044165849685668945,7.744227170944214,1,True,39,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
17,NeuralNetFastAI_r102_BAG_L1,0.5711382113821138,0.5723438334223171,precision,0.19548416137695312,0.07043886184692383,6.267762184143066,0.19548416137695312,0.07043886184692383,6.267762184143066,1,True,24,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
18,CatBoost_r137_BAG_L1,0.5702917771883289,0.6280360860513532,precision,0.056351423263549805,0.01500701904296875,4.271890878677368,0.056351423263549805,0.01500701904296875,4.271890878677368,1,True,23,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
19,NeuralNetTorch_r79_BAG_L1,0.5687645687645687,0.6108171663727219,precision,0.18349695205688477,0.06885886192321777,21.194154500961304,0.18349695205688477,0.06885886192321777,21.194154500961304,1,True,15,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
20,RandomForestGini_BAG_L1,0.5657894736842105,0.5786334056399133,precision,0.10550951957702637,0.15572285652160645,0.89327073097229,0.10550951957702637,0.15572285652160645,0.89327073097229,1,True,5,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
21,CatBoost_r70_BAG_L1,0.5656565656565656,0.618437900128041,precision,0.08602690696716309,0.014719963073730469,7.892688751220703,0.08602690696716309,0.014719963073730469,7.892688751220703,1,True,42,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
22,LightGBM_r188_BAG_L1,0.5630081300813008,0.5995796111403048,precision,0.10174107551574707,0.02033257484436035,4.85675048828125,0.10174107551574707,0.02033257484436035,4.85675048828125,1,True,27,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
23,LightGBM_r15_BAG_L1,0.5614849187935035,0.6010733452593918,precision,0.10399723052978516,0.025389909744262695,3.8273537158966064,0.10399723052978516,0.025389909744262695,3.8273537158966064,1,True,50,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
24,LightGBM_BAG_L1,0.5608695652173913,0.600218459858001,precision,0.10004281997680664,0.01773238182067871,4.634128093719482,0.10004281997680664,0.01773238182067871,4.634128093719482,1,True,4,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
25,XGBoost_r89_BAG_L1,0.5608591885441527,0.6074461136512084,precision,0.24257516860961914,0.027009010314941406,4.210621356964111,0.24257516860961914,0.027009010314941406,4.210621356964111,1,True,29,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
26,XGBoost_BAG_L1,0.5591397849462365,0.5973502304147466,precision,0.29904770851135254,0.03537416458129883,6.681925058364868,0.29904770851135254,0.03537416458129883,6.681925058364868,1,True,11,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
27,RandomForestEntr_BAG_L1,0.5582417582417583,0.5621970920840065,precision,0.0916132926940918,0.1521749496459961,0.9740698337554932,0.0916132926940918,0.1521749496459961,0.9740698337554932,1,True,6,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
28,LightGBMLarge_BAG_L1,0.5576923076923077,0.583732057416268,precision,0.14769887924194336,0.03907465934753418,7.555311918258667,0.14769887924194336,0.03907465934753418,7.555311918258667,1,True,13,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
29,LightGBM_r131_BAG_L1,0.5553047404063205,0.6041666666666666,precision,0.12144708633422852,0.046326398849487305,4.635791540145874,0.12144708633422852,0.046326398849487305,4.635791540145874,1,True,16,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
30,LightGBM_r130_BAG_L1,0.5541666666666667,0.5907417148869016,precision,0.1335163116455078,0.018401145935058594,3.452320098876953,0.1335163116455078,0.018401145935058594,3.452320098876953,1,True,31,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
31,ExtraTrees_r42_BAG_L1,0.5541125541125541,0.5750935328701229,precision,0.1318979263305664,0.1571495532989502,0.6982641220092773,0.1318979263305664,0.1571495532989502,0.6982641220092773,1,True,22,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
32,CatBoost_r9_BAG_L1,0.5531400966183575,0.6014192785334121,precision,0.0745089054107666,0.01610875129699707,18.84171438217163,0.0745089054107666,0.01610875129699707,18.84171438217163,1,True,18,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
33,XGBoost_r98_BAG_L1,0.5528089887640449,0.5984804208065458,precision,0.36062169075012207,0.037026166915893555,8.095962285995483,0.36062169075012207,0.037026166915893555,8.095962285995483,1,True,49,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
34,NeuralNetTorch_BAG_L1,0.5525606469002695,0.5961538461538461,precision,0.18365192413330078,0.05873847007751465,15.585678577423096,0.18365192413330078,0.05873847007751465,15.585678577423096,1,True,12,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
35,NeuralNetTorch_r86_BAG_L1,0.5523255813953488,0.6065705128205128,precision,0.21369385719299316,0.05716514587402344,27.835059881210327,0.21369385719299316,0.05716514587402344,27.835059881210327,1,True,32,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
36,RandomForest_r195_BAG_L1,0.5514223194748359,0.5657894736842105,precision,0.0834512710571289,0.13389205932617188,1.6439671516418457,0.0834512710571289,0.13389205932617188,1.6439671516418457,1,True,26,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
37,NeuralNetFastAI_r95_BAG_L1,0.550321199143469,0.5707317073170731,precision,0.3248772621154785,0.1297752857208252,15.453966617584229,0.3248772621154785,0.1297752857208252,15.453966617584229,1,True,47,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
38,NeuralNetFastAI_r156_BAG_L1,0.5494949494949495,0.5692153923038481,precision,0.18423914909362793,0.07354617118835449,6.460938930511475,0.18423914909362793,0.07354617118835449,6.460938930511475,1,True,43,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
39,XGBoost_r33_BAG_L1,0.5494252873563218,0.5977620730270907,precision,0.38019347190856934,0.03370475769042969,7.688286066055298,0.38019347190856934,0.03370475769042969,7.688286066055298,1,True,21,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
40,ExtraTrees_r172_BAG_L1,0.5485961123110151,0.5753424657534246,precision,0.11359763145446777,0.14086008071899414,0.6081957817077637,0.11359763145446777,0.14086008071899414,0.6081957817077637,1,True,36,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
41,ExtraTreesGini_BAG_L1,0.5479166666666667,0.5485775630703167,precision,0.12633848190307617,0.15574884414672852,0.7589716911315918,0.12633848190307617,0.15574884414672852,0.7589716911315918,1,True,8,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
42,LightGBM_r96_BAG_L1,0.5471698113207547,0.6032276015581525,precision,0.10544633865356445,0.01987457275390625,3.14920711517334,0.10544633865356445,0.01987457275390625,3.14920711517334,1,True,19,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
43,LightGBM_r196_BAG_L1,0.5469728601252609,0.5975452196382429,precision,0.12040972709655762,0.02453446388244629,4.386622905731201,0.12040972709655762,0.02453446388244629,4.386622905731201,1,True,44,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
44,LightGBMXT_BAG_L1,0.5456475583864119,0.608719052744887,precision,0.10422563552856445,0.022424936294555664,2.620460033416748,0.10422563552856445,0.022424936294555664,2.620460033416748,1,True,3,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
45,XGBoost_r194_BAG_L1,0.5454545454545454,0.5913660555884093,precision,0.2677905559539795,0.02641129493713379,5.977010250091553,0.2677905559539795,0.02641129493713379,5.977010250091553,1,True,35,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
46,LightGBM_r161_BAG_L1,0.543046357615894,0.5846153846153846,precision,0.2154998779296875,0.054450035095214844,8.196575164794922,0.2154998779296875,0.054450035095214844,8.196575164794922,1,True,40,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
47,RandomForest_r39_BAG_L1,0.5405982905982906,0.559447983014862,precision,0.11665558815002441,0.12538790702819824,1.5640358924865723,0.11665558815002441,0.12538790702819824,1.5640358924865723,1,True,45,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
48,NeuralNetFastAI_r145_BAG_L1,0.5345911949685535,0.5735607675906184,precision,0.4084300994873047,0.11479973793029785,15.717637777328491,0.4084300994873047,0.11479973793029785,15.717637777328491,1,True,28,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
49,ExtraTreesEntr_BAG_L1,0.5336322869955157,0.545068928950159,precision,0.10753679275512695,0.15581703186035156,0.5804290771484375,0.10753679275512695,0.15581703186035156,0.5804290771484375,1,True,9,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
50,KNeighborsUnif_BAG_L1,0.5328330206378987,0.5010504201680672,precision,0.019916296005249023,0.049124717712402344,0.006560802459716797,0.019916296005249023,0.049124717712402344,0.006560802459716797,1,True,1,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
51,KNeighborsDist_BAG_L1,0.5328330206378987,0.5013123359580053,precision,0.026607513427734375,0.07860565185546875,0.009180068969726562,0.026607513427734375,0.07860565185546875,0.009180068969726562,1,True,2,1,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
