,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,WeightedEnsemble_L2,0.7142857142857143,0.8163265306122449,precision,0.13040566444396973,0.05210256576538086,5.268144130706787,0.0009558200836181641,0.0013241767883300781,0.7897789478302002,2,True,69,3,"['x106', 'x176', 'x413', 'x459']"
1,WeightedEnsemble_L3,0.7142857142857143,0.8163265306122449,precision,0.13064980506896973,0.05213117599487305,5.171726226806641,0.001199960708618164,0.0013527870178222656,0.6933610439300537,3,True,87,3,"['x106', 'x176', 'x413', 'x459']"
2,NeuralNetFastAI_r11_BAG_L1,0.6923076923076923,0.6895734597156398,precision,0.2313699722290039,0.10746335983276367,10.012889862060547,0.2313699722290039,0.10746335983276367,10.012889862060547,1,True,34,3,"['x106', 'x176', 'x413', 'x459']"
3,NeuralNetTorch_r158_BAG_L1,0.6833333333333333,0.6947368421052632,precision,0.09018421173095703,0.02868056297302246,10.068552732467651,0.09018421173095703,0.02868056297302246,10.068552732467651,1,True,51,3,"['x106', 'x176', 'x413', 'x459']"
4,NeuralNetFastAI_r143_BAG_L1,0.6666666666666666,0.7777777777777778,precision,0.06972789764404297,0.04033374786376953,2.7915329933166504,0.06972789764404297,0.04033374786376953,2.7915329933166504,1,True,41,3,"['x106', 'x176', 'x413', 'x459']"
5,NeuralNetTorch_r30_BAG_L1,0.6666666666666666,0.6929824561403509,precision,0.12158608436584473,0.031590938568115234,10.600133895874023,0.12158608436584473,0.031590938568115234,10.600133895874023,1,True,30,3,"['x106', 'x176', 'x413', 'x459']"
6,NeuralNetFastAI_r37_BAG_L1,0.6443514644351465,0.6262910798122066,precision,0.10079312324523926,0.05428624153137207,5.277817010879517,0.10079312324523926,0.05428624153137207,5.277817010879517,1,True,53,3,"['x106', 'x176', 'x413', 'x459']"
7,NeuralNetTorch_r22_BAG_L1,0.6382978723404256,0.6270627062706271,precision,0.10393881797790527,0.03032374382019043,8.93421721458435,0.10393881797790527,0.03032374382019043,8.93421721458435,1,True,20,3,"['x106', 'x176', 'x413', 'x459']"
8,NeuralNetFastAI_r103_BAG_L1,0.6374269005847953,0.6572237960339944,precision,0.12627029418945312,0.04481959342956543,6.348477125167847,0.12627029418945312,0.04481959342956543,6.348477125167847,1,True,38,3,"['x106', 'x176', 'x413', 'x459']"
9,NeuralNetTorch_r79_BAG_L1,0.6341463414634146,0.6261980830670927,precision,0.07421398162841797,0.026210308074951172,9.77095103263855,0.07421398162841797,0.026210308074951172,9.77095103263855,1,True,15,3,"['x106', 'x176', 'x413', 'x459']"
10,NeuralNetTorch_r197_BAG_L1,0.6324786324786325,0.6374156219864995,precision,0.031501054763793945,0.017443180084228516,3.9946577548980713,0.031501054763793945,0.017443180084228516,3.9946577548980713,1,True,54,3,"['x106', 'x176', 'x413', 'x459']"
11,NeuralNetTorch_r31_BAG_L1,0.6188679245283019,0.6321036889332003,precision,0.057710886001586914,0.020726680755615234,7.094143867492676,0.057710886001586914,0.020726680755615234,7.094143867492676,1,True,65,3,"['x106', 'x176', 'x413', 'x459']"
12,NeuralNetTorch_r86_BAG_L1,0.6175548589341693,0.6156635242929659,precision,0.0670619010925293,0.01788187026977539,6.109546899795532,0.0670619010925293,0.01788187026977539,6.109546899795532,1,True,32,3,"['x106', 'x176', 'x413', 'x459']"
13,LightGBM_r196_BAG_L1,0.6162361623616236,0.6177285318559557,precision,0.009422063827514648,0.0046939849853515625,0.9197750091552734,0.009422063827514648,0.0046939849853515625,0.9197750091552734,1,True,44,3,"['x106', 'x176', 'x413', 'x459']"
14,NeuralNetTorch_BAG_L1,0.6107594936708861,0.6207951070336392,precision,0.05227398872375488,0.018653154373168945,5.83502197265625,0.05227398872375488,0.018653154373168945,5.83502197265625,1,True,12,3,"['x106', 'x176', 'x413', 'x459']"
15,NeuralNetFastAI_r95_BAG_L1,0.610738255033557,0.6156225831399845,precision,0.3208780288696289,0.05930304527282715,7.351521015167236,0.3208780288696289,0.05930304527282715,7.351521015167236,1,True,47,3,"['x106', 'x176', 'x413', 'x459']"
16,NeuralNetTorch_r14_BAG_L1,0.6089743589743589,0.6238902340597255,precision,0.021121740341186523,0.017279624938964844,3.8893587589263916,0.021121740341186523,0.017279624938964844,3.8893587589263916,1,True,39,3,"['x106', 'x176', 'x413', 'x459']"
17,NeuralNetFastAI_r88_BAG_L1,0.6064981949458483,0.6240208877284595,precision,0.06255507469177246,0.049680471420288086,3.8138790130615234,0.06255507469177246,0.049680471420288086,3.8138790130615234,1,True,68,3,"['x106', 'x176', 'x413', 'x459']"
18,CatBoost_r49_BAG_L1,0.6050420168067226,0.6105702364394993,precision,0.003716707229614258,0.0035903453826904297,1.2472970485687256,0.003716707229614258,0.0035903453826904297,1.2472970485687256,1,True,55,3,"['x106', 'x176', 'x413', 'x459']"
19,NeuralNetTorch_r41_BAG_L1,0.602112676056338,0.6152597402597403,precision,0.04489278793334961,0.015329837799072266,9.693547010421753,0.04489278793334961,0.015329837799072266,9.693547010421753,1,True,48,3,"['x106', 'x176', 'x413', 'x459']"
20,CatBoost_r50_BAG_L1,0.6,0.6037215713301172,precision,0.007807016372680664,0.005864143371582031,1.276961088180542,0.007807016372680664,0.005864143371582031,1.276961088180542,1,True,33,3,"['x106', 'x176', 'x413', 'x459']"
21,CatBoost_r137_BAG_L1,0.5971428571428572,0.6105032822757112,precision,0.0040590763092041016,0.0036940574645996094,1.2649531364440918,0.0040590763092041016,0.0036940574645996094,1.2649531364440918,1,True,23,3,"['x106', 'x176', 'x413', 'x459']"
22,CatBoost_r13_BAG_L1,0.5967302452316077,0.610512129380054,precision,0.0072269439697265625,0.003034353256225586,2.0329599380493164,0.0072269439697265625,0.003034353256225586,2.0329599380493164,1,True,25,3,"['x106', 'x176', 'x413', 'x459']"
23,NeuralNetFastAI_r191_BAG_L1,0.5957446808510638,0.6081911262798635,precision,0.15030717849731445,0.053487539291381836,8.707422971725464,0.15030717849731445,0.053487539291381836,8.707422971725464,1,True,17,3,"['x106', 'x176', 'x413', 'x459']"
24,CatBoost_r69_BAG_L1,0.5932642487046632,0.6032279757901816,precision,0.004274129867553711,0.0038144588470458984,1.4065520763397217,0.004274129867553711,0.0038144588470458984,1.4065520763397217,1,True,37,3,"['x106', 'x176', 'x413', 'x459']"
25,LightGBM_r15_BAG_L1,0.5915915915915916,0.60431654676259,precision,0.00900125503540039,0.004137516021728516,0.9582920074462891,0.00900125503540039,0.004137516021728516,0.9582920074462891,1,True,50,3,"['x106', 'x176', 'x413', 'x459']"
26,CatBoost_r86_BAG_L1,0.5913978494623656,0.6046666666666667,precision,0.004363059997558594,0.003313302993774414,1.8761770725250244,0.004363059997558594,0.003313302993774414,1.8761770725250244,1,True,52,3,"['x106', 'x176', 'x413', 'x459']"
27,CatBoost_r177_BAG_L1,0.5888324873096447,0.6003861003861004,precision,0.014549970626831055,0.0031690597534179688,1.7504069805145264,0.014549970626831055,0.0031690597534179688,1.7504069805145264,1,True,14,3,"['x106', 'x176', 'x413', 'x459']"
28,NeuralNetFastAI_BAG_L1,0.5882352941176471,0.5997566909975669,precision,0.09862709045410156,0.045876264572143555,4.582805871963501,0.09862709045410156,0.045876264572143555,4.582805871963501,1,True,10,3,"['x106', 'x176', 'x413', 'x459']"
29,CatBoost_r167_BAG_L1,0.5880829015544041,0.6006430868167203,precision,0.0042150020599365234,0.004564762115478516,1.897355079650879,0.0042150020599365234,0.004564762115478516,1.897355079650879,1,True,46,3,"['x106', 'x176', 'x413', 'x459']"
30,NeuralNetTorch_r143_BAG_L1,0.5880758807588076,0.6084415584415584,precision,0.10345315933227539,0.0317385196685791,12.590041160583496,0.10345315933227539,0.0317385196685791,12.590041160583496,1,True,62,3,"['x106', 'x176', 'x413', 'x459']"
31,RandomForestEntr_BAG_L2,0.5879518072289157,0.5860908581043186,precision,4.361279487609863,2.793999671936035,226.61474418640137,0.06251287460327148,0.11206603050231934,1.5235788822174072,2,True,73,3,"['x106', 'x176', 'x413', 'x459']"
32,ExtraTrees_r4_BAG_L1,0.5878048780487805,0.5697469099470277,precision,0.043318986892700195,0.07830977439880371,0.47521305084228516,0.043318986892700195,0.07830977439880371,0.47521305084228516,1,True,66,3,"['x106', 'x176', 'x413', 'x459']"
33,NeuralNetTorch_BAG_L2,0.5877192982456141,0.6250956388676359,precision,4.45494270324707,2.780848503112793,231.38327598571777,0.15617609024047852,0.09891486167907715,6.2921106815338135,2,True,79,3,"['x106', 'x176', 'x413', 'x459']"
34,ExtraTreesGini_BAG_L2,0.5876288659793815,0.5809578107183581,precision,4.370424747467041,2.8026986122131348,225.6987121105194,0.07165813446044922,0.12076497077941895,0.6075468063354492,2,True,75,3,"['x106', 'x176', 'x413', 'x459']"
35,NeuralNetFastAI_r145_BAG_L1,0.587431693989071,0.6026936026936027,precision,0.22803092002868652,0.06423425674438477,7.736462116241455,0.22803092002868652,0.06423425674438477,7.736462116241455,1,True,28,3,"['x106', 'x176', 'x413', 'x459']"
36,LightGBM_r96_BAG_L1,0.5853658536585366,0.5959741193386053,precision,0.017940044403076172,0.0198972225189209,2.0307929515838623,0.017940044403076172,0.0198972225189209,2.0307929515838623,1,True,19,3,"['x106', 'x176', 'x413', 'x459']"
37,XGBoost_r98_BAG_L1,0.5847457627118644,0.6028789161727349,precision,0.059721946716308594,0.01044464111328125,1.6868321895599365,0.059721946716308594,0.01044464111328125,1.6868321895599365,1,True,49,3,"['x106', 'x176', 'x413', 'x459']"
38,NeuralNetTorch_r79_BAG_L2,0.5844155844155844,0.6164645820038289,precision,4.456582546234131,2.785595178604126,234.78980612754822,0.15781593322753906,0.10366153717041016,9.698640823364258,2,True,82,3,"['x106', 'x176', 'x413', 'x459']"
39,NeuralNetFastAI_r134_BAG_L1,0.5811138014527845,0.5975308641975309,precision,0.08965516090393066,0.07790374755859375,6.516558885574341,0.08965516090393066,0.07790374755859375,6.516558885574341,1,True,59,3,"['x106', 'x176', 'x413', 'x459']"
40,NeuralNetFastAI_r156_BAG_L1,0.5792349726775956,0.5931981687377371,precision,0.07012677192687988,0.03864789009094238,3.6652050018310547,0.07012677192687988,0.03864789009094238,3.6652050018310547,1,True,43,3,"['x106', 'x176', 'x413', 'x459']"
41,CatBoost_r9_BAG_L1,0.5789473684210527,0.6026229508196721,precision,0.013239145278930664,0.006154775619506836,3.288738965988159,0.013239145278930664,0.006154775619506836,3.288738965988159,1,True,18,3,"['x106', 'x176', 'x413', 'x459']"
42,CatBoost_BAG_L1,0.5773195876288659,0.6035042180402336,precision,0.007318019866943359,0.0031960010528564453,1.5010099411010742,0.007318019866943359,0.0031960010528564453,1.5010099411010742,1,True,7,3,"['x106', 'x176', 'x413', 'x459']"
43,LightGBM_r94_BAG_L1,0.5767326732673267,0.5938586326767091,precision,0.03074812889099121,0.02666497230529785,1.4886720180511475,0.03074812889099121,0.02666497230529785,1.4886720180511475,1,True,61,3,"['x106', 'x176', 'x413', 'x459']"
44,CatBoost_r9_BAG_L2,0.5761904761904761,0.63347083087802,precision,4.3315935134887695,2.701397180557251,262.03773832321167,0.032826900482177734,0.019463539123535156,36.94657301902771,2,True,85,3,"['x106', 'x176', 'x413', 'x459']"
45,NeuralNetFastAI_r191_BAG_L2,0.5755208333333334,0.6261107313738893,precision,4.4746034145355225,2.757927656173706,235.24679732322693,0.17583680152893066,0.07599401473999023,10.155632019042969,2,True,84,3,"['x106', 'x176', 'x413', 'x459']"
46,RandomForestGini_BAG_L2,0.5753086419753086,0.5824115044247787,precision,4.369529724121094,2.790245294570923,226.22335529327393,0.07076311111450195,0.10831165313720703,1.1321899890899658,2,True,72,3,"['x106', 'x176', 'x413', 'x459']"
47,LightGBM_r96_BAG_L2,0.5734939759036145,0.6394513389941215,precision,4.3410375118255615,2.7218313217163086,227.33039712905884,0.04227089881896973,0.03989768028259277,2.239231824874878,2,True,86,3,"['x106', 'x176', 'x413', 'x459']"
48,RandomForest_r34_BAG_L1,0.5730858468677494,0.5564924114671164,precision,0.04536890983581543,0.07956910133361816,0.7377068996429443,0.04536890983581543,0.07956910133361816,0.7377068996429443,1,True,60,3,"['x106', 'x176', 'x413', 'x459']"
49,CatBoost_r128_BAG_L1,0.5710843373493976,0.6039726877715704,precision,0.010911941528320312,0.0069310665130615234,5.737520933151245,0.010911941528320312,0.0069310665130615234,5.737520933151245,1,True,63,3,"['x106', 'x176', 'x413', 'x459']"
