,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,NeuralNetTorch_r76_BAG_L1,1.0,0.5555555555555556,precision,0.025888919830322266,0.013746261596679688,3.5172410011291504,0.025888919830322266,0.013746261596679688,3.5172410011291504,1,True,90,1,['x459']
1,NeuralNetTorch_r158_BAG_L1,1.0,0.5332541567695962,precision,0.07867717742919922,0.023521900177001953,6.926295042037964,0.07867717742919922,0.023521900177001953,6.926295042037964,1,True,51,1,['x459']
2,NeuralNetTorch_r89_BAG_L1,0.8333333333333334,0.574468085106383,precision,0.07773327827453613,0.019542694091796875,8.264559745788574,0.07773327827453613,0.019542694091796875,8.264559745788574,1,True,110,1,['x459']
3,NeuralNetTorch_r14_BAG_L1,0.8,0.5561497326203209,precision,0.02823185920715332,0.0143280029296875,3.737166166305542,0.02823185920715332,0.0143280029296875,3.737166166305542,1,True,39,1,['x459']
4,NeuralNetTorch_r71_BAG_L1,0.6666666666666666,0.5450236966824644,precision,0.022535085678100586,0.015538215637207031,3.81363582611084,0.022535085678100586,0.015538215637207031,3.81363582611084,1,True,73,1,['x459']
5,NeuralNetFastAI_r11_BAG_L1,0.6666666666666666,0.5632798573975044,precision,0.21071410179138184,0.07859921455383301,8.337199211120605,0.21071410179138184,0.07859921455383301,8.337199211120605,1,True,34,1,['x459']
6,NeuralNetTorch_r41_BAG_L1,0.65,0.5810055865921788,precision,0.03821206092834473,0.016196250915527344,4.911048889160156,0.03821206092834473,0.016196250915527344,4.911048889160156,1,True,48,1,['x459']
7,NeuralNetFastAI_r69_BAG_L1,0.6060606060606061,0.5563991323210412,precision,0.14594316482543945,0.07211089134216309,4.960483074188232,0.14594316482543945,0.07211089134216309,4.960483074188232,1,True,84,1,['x459']
8,NeuralNetFastAI_r187_BAG_L1,0.5932203389830508,0.5542784163473818,precision,0.07050895690917969,0.03768610954284668,3.3719980716705322,0.07050895690917969,0.03768610954284668,3.3719980716705322,1,True,104,1,['x459']
9,NeuralNetFastAI_r172_BAG_L1,0.5630252100840336,0.5371980676328503,precision,0.06991791725158691,0.03465628623962402,3.452406883239746,0.06991791725158691,0.03465628623962402,3.452406883239746,1,True,88,1,['x459']
10,NeuralNetTorch_r31_BAG_L1,0.5580524344569289,0.5226027397260274,precision,0.03742718696594238,0.01801013946533203,4.3987109661102295,0.03742718696594238,0.01801013946533203,4.3987109661102295,1,True,65,1,['x459']
11,NeuralNetTorch_r19_BAG_L1,0.5525291828793775,0.519434628975265,precision,0.03502488136291504,0.016805410385131836,4.40734601020813,0.03502488136291504,0.016805410385131836,4.40734601020813,1,True,105,1,['x459']
