max_depth,n_estimators,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
8,363,x103_x106_x101_x5_x102_x105,5850.0,0,Iterative,0.6736401673640168,0.6591606960081884,0.6452905811623246,0.667
8,363,x103_x106_x101_x5_x102_x105,6050.0,1,Iterative,0.6784922394678492,0.6442105263157895,0.6132264529058116,0.662
8,363,x103_x106_x101_x5_x102_x105,6300.0,2,Iterative,0.673773987206823,0.6528925619834711,0.6332665330661322,0.664
8,363,x103_x106_x101_x5_x102_x105,6000.0,3,Iterative,0.6604166666666667,0.6475995914198162,0.6352705410821643,0.655
8,363,x103_x106_x101_x5_x102_x105,6350.0,4,Iterative,0.7037037037037037,0.6743215031315241,0.6472945891783567,0.688
10,384,x103_x106_x101_x102_x105,5950.0,0,Iterative,0.6701461377870563,0.656441717791411,0.6432865731462926,0.664
10,384,x103_x106_x101_x102_x105,6250.0,1,Iterative,0.690744920993228,0.6496815286624203,0.6132264529058116,0.67
10,384,x103_x106_x101_x102_x105,6050.0,2,Iterative,0.6773504273504274,0.655635987590486,0.6352705410821643,0.667
10,384,x103_x106_x101_x102_x105,6100.0,3,Iterative,0.6729166666666667,0.6598569969356486,0.6472945891783567,0.667
10,384,x103_x106_x101_x102_x105,6400.0,4,Iterative,0.7021739130434783,0.6736183524504692,0.6472945891783567,0.687
9,192,x103_x106_x101_x102,6200.0,0,Iterative,0.6703296703296703,0.639412997903564,0.6112224448897795,0.656
9,192,x103_x106_x101_x102,6450.0,1,Iterative,0.6867749419953596,0.6365591397849463,0.593186372745491,0.662
9,192,x103_x106_x101_x102,6150.0,2,Iterative,0.6812933025404158,0.6330472103004292,0.591182364729459,0.658
9,192,x103_x106_x101_x102,6300.0,3,Iterative,0.669683257918552,0.6291179596174282,0.593186372745491,0.651
9,192,x103_x106_x101_x102,6400.0,4,Iterative,0.6674157303370787,0.6292372881355932,0.5951903807615231,0.65
9,159,x103_x106_x101_x105,6350.0,0,Iterative,0.6738197424892703,0.6507772020725389,0.6292585170340681,0.663
9,159,x103_x106_x101_x105,6450.0,1,Iterative,0.6778042959427207,0.6187363834422658,0.5691382765531062,0.65
9,159,x103_x106_x101_x105,6150.0,2,Iterative,0.6725274725274726,0.6415094339622641,0.6132264529058116,0.658
9,159,x103_x106_x101_x105,6400.0,3,Iterative,0.6506550218340611,0.6227795193312434,0.5971943887775552,0.639
