C,gamma,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
6.220156291345995,0.052655141781615546,x103_x106_x101_x5_x102_x105,6300.0,0,Iterative,0.6825726141078838,0.6707441386340469,0.6593186372745491,0.677
6.220156291345995,0.052655141781615546,x103_x106_x101_x5_x102_x105,5900.0,1,Iterative,0.6876355748373102,0.6604166666666667,0.6352705410821643,0.674
6.220156291345995,0.052655141781615546,x103_x106_x101_x5_x102_x105,6400.0,2,Iterative,0.6993865030674846,0.6923076923076923,0.685370741482966,0.696
6.220156291345995,0.052655141781615546,x103_x106_x101_x5_x102_x105,6650.0,3,Iterative,0.6855345911949685,0.6700819672131147,0.655310621242485,0.678
6.220156291345995,0.052655141781615546,x103_x106_x101_x5_x102_x105,6550.0,4,Iterative,0.7152173913043478,0.6861313868613139,0.6593186372745491,0.699
0.19809966877797522,0.4931717644233814,x103_x106_x101_x102_x105,6600.0,0,Iterative,0.665314401622718,0.6612903225806451,0.657314629258517,0.664
0.19809966877797522,0.4931717644233814,x103_x106_x101_x102_x105,6200.0,1,Iterative,0.6918367346938775,0.6855409504550051,0.6793587174348698,0.689
0.19809966877797522,0.4931717644233814,x103_x106_x101_x102_x105,6400.0,2,Iterative,0.6732673267326733,0.6772908366533864,0.6813627254509018,0.676
0.19809966877797522,0.4931717644233814,x103_x106_x101_x102_x105,6750.0,3,Iterative,0.6739130434782609,0.6786069651741293,0.6833667334669339,0.677
0.19809966877797522,0.4931717644233814,x103_x106_x101_x102_x105,6800.0,4,Iterative,0.6987704918032787,0.690982776089159,0.6833667334669339,0.695
0.0050693194938617415,0.08167861125833123,x103_x106_x101_x102,6500.0,0,Iterative,0.0,0.0,0.0,0.501
0.0050693194938617415,0.08167861125833123,x103_x106_x101_x102,6500.0,1,Iterative,1.0,0.004,0.002004008016032064,0.502
0.0050693194938617415,0.08167861125833123,x103_x106_x101_x102,6650.0,2,Iterative,1.0,0.004,0.002004008016032064,0.502
0.0050693194938617415,0.08167861125833123,x103_x106_x101_x102,6550.0,3,Iterative,0.0,0.0,0.0,0.501
