,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_max_depth,config/et_max_features,config/et_min_samples_leaf,config/et_min_samples_split,config/et_n_estimators,config/lr_C,config/lr_solver,config/svc_C,config/svc_kernel,config/weight_et,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_colsample_bytree,config/xgb_eta,config/xgb_lambda,config/xgb_max_depth,config/xgb_min_child_weight,config/xgb_subsample,logdir
0,6350.0,1716982340,,False,1,22c73578,2024-05-29_13-32-20,1.1852319240570068,1.1852319240570068,45528,DESKTOP-8J3QSBJ,127.0.0.1,1.1852319240570068,1,"[100, 101, 102, 103, 105]",True,20,sqrt,9,8,53,8.524149214095367,saga,0.13630507261206193,poly,0.30357987544808585,0.10172464950758031,0.9331424907068995,0.45519564133136914,0.030739519919988,0.7916682667820926,0.036376002491375826,0.007572427606314103,4,4,0.7816994533416832,22c73578
1,6200.0,1716982343,,False,1,78469c1b,2024-05-29_13-32-23,1.7493188381195068,1.7493188381195068,25896,DESKTOP-8J3QSBJ,127.0.0.1,1.7493188381195068,1,"[100, 104, 102, 103, 105]",False,3,sqrt,2,5,125,0.8132405076915311,newton-cg,0.7954952797772283,sigmoid,0.29584719870933107,0.8161791845320308,0.4640226983067157,0.097029066284951,2.7936395910550136,0.6635523505582777,0.08415443090825052,0.014994195084347706,8,1,0.6411125423062436,78469c1b
2,6750.0,1716982345,,False,1,68f7ed2e,2024-05-29_13-32-25,1.5056474208831787,1.5056474208831787,58224,DESKTOP-8J3QSBJ,127.0.0.1,1.5056474208831787,1,"[101, 102, 103, 105]",True,14,sqrt,4,10,147,0.6607624957706457,saga,2.535150618734421,sigmoid,0.32638854705009057,0.5220184794419768,0.22044409635109619,0.1773158161129581,0.3214724453776186,0.7255138532421035,0.01844044597137845,0.01916175641039075,7,5,0.5467836537152432,68f7ed2e
3,6250.0,1716982348,,False,1,c959d932,2024-05-29_13-32-28,2.5756137371063232,2.5756137371063232,55096,DESKTOP-8J3QSBJ,127.0.0.1,2.5756137371063232,1,"[101, 103, 105]",False,17,sqrt,3,4,186,4.063348412436492,saga,7.452930106342297,poly,0.32819944544007795,0.8108312041421997,0.8569803212668303,0.053077633075479524,0.50138932488112,0.5676718969882872,0.013912821171686992,0.11181551307634933,3,4,0.5612618672437747,c959d932
4,6650.0,1716982348,,False,1,b45ae11e,2024-05-29_13-32-28,1.0152671337127686,1.0152671337127686,60380,DESKTOP-8J3QSBJ,127.0.0.1,1.0152671337127686,1,"[100, 101, 102, 105]",True,14,sqrt,4,10,177,0.2716002320615213,lbfgs,0.14941636234941091,linear,0.5746480017138778,0.28216157114094664,0.6318615605561708,0.29014245048700493,0.023933966479127815,0.9820693048287542,0.04190227006487752,0.0037906696253311232,4,3,0.9943153947738493,b45ae11e
5,6700.0,1716982494,,False,1,5e54e7b4,2024-05-29_13-34-54,1.4220643043518066,1.4220643043518066,44788,DESKTOP-8J3QSBJ,127.0.0.1,1.4220643043518066,1,"[101, 103, 105]",True,19,sqrt,4,5,143,0.14217989704709827,newton-cg,1.087085083972036,poly,0.971818725317746,0.9107940894942951,0.8227861407865693,0.09782315865249247,2.2600222194489468,0.5081201712190222,0.028946142624811814,0.0022827578637552542,7,4,0.5563991075633592,5e54e7b4
6,5350.0,1716982353,,False,1,16d339ce,2024-05-29_13-32-33,1.720322847366333,1.720322847366333,24112,DESKTOP-8J3QSBJ,127.0.0.1,1.720322847366333,1,"[100, 104, 102, 103, 105]",True,3,sqrt,6,4,172,0.3423684177726532,newton-cg,0.3094057154432692,sigmoid,0.29435749487146545,0.9071194282024482,0.6566634629556661,0.0003035331352119197,0.0014970989218226138,0.9892326317672486,0.012736906857204064,1.3837622793035986,7,4,0.5019907355530688,16d339ce
7,6300.0,1716982496,,False,1,545dced1,2024-05-29_13-34-56,1.440999984741211,1.440999984741211,59724,DESKTOP-8J3QSBJ,127.0.0.1,1.440999984741211,1,"[101, 102, 103]",True,11,log2,5,10,63,2.3661118550844025,liblinear,0.44443053751045736,sigmoid,0.34903819897116317,0.8945114759584607,0.4681418584175918,0.8210143876437713,0.045880773695278994,0.7005231727248171,0.03755637138616248,0.0038534775443091304,9,4,0.6715136981008658,545dced1
8,6550.0,1716982356,,False,1,ca724842,2024-05-29_13-32-36,1.0810472965240479,1.0810472965240479,7288,DESKTOP-8J3QSBJ,127.0.0.1,1.0810472965240479,1,"[100, 101, 102, 103, 104, 105]",False,7,log2,5,2,101,6.808698636501184,lbfgs,0.1351050539126581,poly,0.0621548781741349,0.5199857335013089,0.2945326136886769,0.1415819145537084,0.21940559405952334,0.8795791164208112,0.036765501021080345,0.9282213952060573,8,5,0.7665424024217028,ca724842
9,6700.0,1716982498,,False,1,43532358,2024-05-29_13-34-58,1.7472028732299805,1.7472028732299805,62736,DESKTOP-8J3QSBJ,127.0.0.1,1.7472028732299805,1,"[100, 101, 102, 105]",False,13,log2,6,6,200,0.46268879248880124,liblinear,0.2235567255085444,sigmoid,0.5070057225316799,0.9652979640671123,0.24766479300959743,0.19505328679187284,0.2019811254511377,0.9847352238345459,0.012540632758204889,0.004898963309237079,8,1,0.5419196312905842,43532358
