score,accuracy
5681.496881496882,0.704
5851.792828685258,0.721
6090.836653386454,0.734
6121.063394683027,0.744
5942.857142857142,0.726
5905.788423153693,0.722
5954.308617234468,0.715
5914.624505928854,0.714
5914.228456913826,0.726
6120.0,0.732
5980.0,0.713
6175.745526838967,0.732
6040.663900414938,0.738
5991.919191919193,0.732
6037.354085603112,0.71
5962.1621621621625,0.714
6069.155206286837,0.718
5822.132796780684,0.713
6050.5091649694505,0.725
5624.7422680412365,0.704
5710.569105691057,0.702
6219.354838709678,0.738
6056.461232604374,0.725
6169.477911646587,0.739
5686.22754491018,0.688
5827.55905511811,0.691
5786.027944111776,0.714
5919.675456389453,0.718
5880.0,0.712
6072.727272727273,0.723
5837.0370370370365,0.69
5804.132231404958,0.711
5910.655737704918,0.73
5962.6984126984125,0.716
5994.388777555109,0.723
5834.764826175869,0.715
5948.362235067437,0.701
5951.051625239005,0.7
6002.5052192066805,0.732
6093.868921775898,0.743
5635.699797160244,0.687
5624.7422680412365,0.69
6122.834645669292,0.728
5695.161290322581,0.708
5824.291497975708,0.706
6267.889908256881,0.735
5654.8387096774195,0.702
5945.833333333334,0.729
5693.7875751503,0.704
6007.920792079208,0.716
5916.564417177914,0.719
6063.374485596708,0.73
5862.5,0.728
5872.691552062868,0.697
5866.115702479337,0.726
6008.835341365462,0.723
5812.19512195122,0.718
5920.315581854044,0.71
5801.972386587771,0.709
5837.0370370370365,0.701
5988.118811881188,0.715
6027.926078028747,0.73
5971.717171717172,0.724
5831.872509960159,0.698
6024.576271186441,0.727
5811.952191235059,0.708
5991.919191919193,0.729
6046.09375,0.722
5916.564417177914,0.728
6041.379310344828,0.728
5957.464212678937,0.723
5974.79674796748,0.72
5998.4435797665365,0.713
6036.580516898609,0.722
6113.725490196078,0.725
5876.923076923077,0.694
5925.748502994012,0.705
5888.353413654619,0.718
6195.4372623574145,0.719
5857.6131687242805,0.719
6077.992277992278,0.715
6050.9960159362545,0.723
5916.182572614108,0.719
5900.591715976331,0.703
5820.0,0.713
5784.126984126984,0.705
5770.954356846473,0.704
5751.219512195123,0.704
6060.0,0.731
5800.0,0.71
5732.773109243698,0.708
5937.254901960784,0.705
5957.057654075547,0.729
6181.889763779528,0.74
6342.213883677298,0.727
5834.0681362725445,0.708
6113.725490196078,0.723
6128.094302554027,0.726
5771.544715447155,0.713
5806.109979633401,0.706
